env,metric,seed,endpoint,inner_effect,outer_effect,interaction
DiagReachK3,W2,186,cost_mean,"[0.262308556299943, 0.7341556319823637, 0.9068482716878243]","[0.0, 0.0, 0.0]","[0.0, 0.0, 0.0]"
DiagReachK3,W2,186,event,"[0.0, 0.0, 0.0]","[0.0, 0.0, 0.0]","[0.0, 0.0, 0.0]"
DiagReachK3,W2,186,excess,"[0.0, 0.0, 0.0]","[0.0, 0.0, 0.0]","[0.0, 0.0, 0.0]"
DiagReachK3,W2,187,reward,-0.09579654591783537,0.0,0.0
DiagReachK3,W2,187,success,0.0,0.0,0.0
DiagReachK3,W2,187,joint,0.0,0.0,0.0
DiagReachK3,W2,187,any_event,0.0,0.0,0.0
DiagReachK3,W2,187,installs,3.0,0.0,0
DiagReachK3,W2,187,middle_selected,3.0,0.0,0
DiagReachK3,W2,187,middle_installed,1.0,0.0,0
DiagReachK3,W2,187,cost_mean,"[0.8682085076967878, -0.6462842776225166, 0.10986555845309454]","[0.0, 0.0, 0.0]","[0.0, 0.0, 0.0]"
DiagReachK3,W2,187,event,"[0.0, 0.0, 0.0]","[0.0, 0.0, 0.0]","[0.0, 0.0, 0.0]"
DiagReachK3,W2,187,excess,"[0.0, 0.0, 0.0]","[0.0, 0.0, 0.0]","[0.0, 0.0, 0.0]"
