env,seed,cycle,anchor,metric,channel,Gtrain,GholdLR,GholdLR_lo,GholdLR_hi,Gsample,Gsample_lo,Gsample_hi,Gdet,Gdet_lo,Gdet_hi,T,T_lo,T_hi,L,L_lo,L_hi,K,K_lo,K_hi,mean_only,mean_only_lo,mean_only_hi,std_only,std_only_lo,std_only_hi,interaction,interaction_lo,interaction_hi,cost_intercept_sample,cost_intercept_det,inner_cost_over_budget,det_any_event
DiagReachK2,187,0,10,KL,raw,-0.05117152810757984,-0.19058961182566422,-0.29864200968880544,-0.0769069014416534,-0.16745434701442719,-0.20337261892855168,-0.13238689713180066,-0.06875399500131607,-0.07049053069204092,-0.06677869744598866,0.1394180837180844,0.02573537333407354,0.2474704815812253,-0.02313526481123704,-0.12861484685244023,0.08273803870064382,-0.09870035201311111,-0.13379020094871522,-0.06401511561125517,-0.19581612944602966,-0.23753860890865325,-0.15391587801277637,0.038780998438596725,0.02538761394098401,0.051462037023156874,-0.010419188998639584,-0.014473913051187993,-0.006368691101670266,,,,0.0
DiagReachK2,187,0,10,KL,penalty,-1.9461004719670185,-0.662824618079953,-1.0470166953555864,-0.2768071355178946,-0.415079265832901,-0.5815307900309563,-0.26677309274673466,-0.0003273412585258484,-0.0009001372382044792,0.0,-1.2832758538870657,-1.669293336449124,-0.899083776611432,-0.24774535224705196,-0.5737735408552223,0.11385144587292499,-0.41475191712379456,-0.5812218680977821,-0.2663905173540116,-0.39540955424308777,-0.5520231753587723,-0.2518947295844555,0.007630961947143078,-0.014293910702690482,0.029231919767335055,-0.027300702407956123,-0.05106151169165969,-0.008234646520577375,,,,0.0
DiagReachK2,187,0,10,KL,cost_0,-1.0632663923850543,-0.6063549342672816,-0.8164738795546206,-0.3859603693491746,-0.4070824384689331,-0.46815335676074027,-0.3357030361890793,-0.8186132907867432,-0.8280142739415168,-0.80996503084898,-0.4569114581177727,-0.6773060230358797,-0.24679251283043385,-0.1992724957983485,-0.42417370968776114,0.032848866902027825,0.41153085231781006,0.3493749976158142,0.48367581292986866,-0.41156402230262756,-0.47257245928049085,-0.34257969036698355,0.032823942601680756,0.021692479914054274,0.04507062919437885,-0.02834227681159973,-0.03793372008949518,-0.019486966961994777,-0.3384432792663574,-0.9995012283325195,0.5632792916835864,0.0
DiagReachK2,187,0,10,KL,cost_1,0.1667253567210289,-0.08475311613977261,-0.21538649304154509,0.055158261898442376,-0.050098806619644165,-0.0767575204372406,-0.019270123913884166,-0.13243485987186432,-0.13672272339463235,-0.12826214395463467,0.2514784728608015,0.11156709482258649,0.38211184976257395,-0.03465430952012845,-0.1626906851051827,0.10334120943541364,0.08233605325222015,0.05435772091150284,0.11355283316224812,-0.053133562207221985,-0.08016954809427261,-0.023418037686496977,0.007432678714394569,0.0020063370175193995,0.013169259484857318,-0.004397924058139324,-0.005869033606722951,-0.0029445288353599627,0.21048736572265625,-0.5642070770263672,0.6340771846213514,0.0
DiagReachK2,187,0,10,W2,shaped,1.9105439998731502,0.4193184160315935,0.0287002476419553,0.7926673199393753,0.22182318568229675,0.08336423747241498,0.38529348149895665,-0.06722251325845718,-0.06827209889888763,-0.06592151336371899,1.4912255838415567,1.1178766799337743,1.8818437522311948,0.19749523034929672,-0.16102181449319775,0.5466608159276172,0.28904569149017334,0.15096280835568904,0.4519351907074451,0.17417095601558685,0.04228097833693028,0.32227031439542736,0.030687911435961723,0.0018043753458186988,0.05388172436505554,0.01696440577507019,-0.0034094393253326417,0.04215553915128112,,,,0.0
DiagReachK2,187,0,10,W2,raw,-0.0031331999439613207,-0.14246260472353586,-0.2464284667978168,-0.0329686995809219,-0.12111099809408188,-0.15522459633648394,-0.08672566432505847,-0.06754985451698303,-0.0685813531279564,-0.06629084069281817,0.13932940477957453,0.029835499636960566,0.24329526685385525,-0.021351606629453984,-0.12326277167638523,0.07843699015791471,-0.053561143577098846,-0.08767224457114935,-0.018928323499858384,-0.15055733919143677,-0.18938998728990555,-0.11069339960813525,0.04002545401453972,0.026589821744710206,0.05271491929888725,-0.01057913526892662,-0.014653608482331038,-0.0067868516780436065,,,,0.0
DiagReachK2,187,0,10,W2,penalty,-1.9136772598414988,-0.5617810237487066,-0.915503923306401,-0.19240766569518922,-0.3429342210292816,-0.4942971095442772,-0.20992000810801983,-0.0003273412585258484,-0.0009001372382044792,0.0,-1.3518962360927922,-1.72126959414631,-0.9981733365350981,-0.21884680271942503,-0.5318665427282948,0.13522223015183654,-0.34260687232017517,-0.49396614655852317,-0.2096110861748457,-0.3247281610965729,-0.4609638459980488,-0.19714128151535992,0.009337510913610458,-0.013480860437266528,0.03226524386554956,-0.027543464675545692,-0.05211088331416249,-0.008002591226249934,,,,0.0
DiagReachK2,187,0,10,W2,cost_0,-0.8965724201914218,-0.47716049135956506,-0.6865609313551917,-0.25607659160032314,-0.2957577109336853,-0.3540477268397808,-0.22842756882309914,-0.5545946359634399,-0.5640586867928505,-0.5460084304213524,-0.41941192883185674,-0.6404958285910988,-0.21001148883623022,-0.18140278042587976,-0.40496398168003694,0.04049246324775391,0.25883692502975464,0.19996310025453568,0.32708313986659043,-0.30563077330589294,-0.36393856927752494,-0.2366033181548119,0.037293847650289536,0.025838764710351826,0.04984464263543486,-0.027420716360211372,-0.03686509067192674,-0.018934825668111454,-0.3384432792663574,-0.9995012283325195,0.5910616203825251,0.0
DiagReachK2,187,0,10,W2,cost_1,0.11089489255920067,-0.09266410990817825,-0.225938712957541,0.0464263695628581,-0.053971197456121445,-0.07914181016385555,-0.025581155437976167,-0.1415674090385437,-0.14525462836027145,-0.13774630874395372,0.2035590024673789,0.06446852299634256,0.3368336055167416,-0.038692912452056805,-0.167559352592644,0.10305194711042791,0.08759620785713196,0.06258457712829113,0.11629916690289974,-0.05705828219652176,-0.08218132015317678,-0.0297078317962587,0.007510808762162924,0.00195438030641526,0.013443105597980318,-0.004423737991601229,-0.00589384981431067,-0.0030408613150939364,0.21048736572265625,-0.5642070770263672,0.6247721072610468,0.0
DiagReachK2,187,6,11,KL,shaped,2.780245152026893,1.2146353367804321,0.5836892167263852,1.9730617082873616,0.7074328660964966,0.5170226275920868,0.933708593249321,-0.22631019353866577,-0.22823514975607395,-0.22433130368590354,1.565609815246461,0.8071834437395311,2.1965559353005077,0.5072024706839355,-0.024340604229997707,1.116589686774189,0.9337430596351624,0.7413089454174042,1.1596671879291534,0.7727617621421814,0.567849624156952,1.0091503590345379,-0.05568373203277588,-0.08053580410778523,-0.028346361033618456,-0.009645473212003708,-0.024444280564785002,0.0037218796089291497,,,,0.0
