env,seed,metric,combo,inner_reward,outer_reward,job,cycle,source,accepted,effective_update,selection_flip,acceptance_flip,actual_score,raw_selection,shaped_selection,reward_key,solver_active,solver_accepted,solver_recovery,actor_reward_target,actor_gain,actor_target_return,critic_shaped_return,Jhat,predicted_cost,seconds
DiagReachK2,180,KL,RR,raw,raw,development_DiagReachK2_s180_KL_RR,10,old,True,False,False,False,"[9.33858871459961, 9.681035995483398, 8.261372566223145]","[[9.33858871459961, 5.765387535095215, 5.5549516677856445], [9.681035995483398, 5.809168815612793, 6.734738349914551], [8.261372566223145, 4.200229644775391, 4.539470672607422]]","[[9.33858871459961, 5.765387535095215, 5.5549516677856445], [8.222673416137695, 5.809168815612793, 6.734738349914551], [8.261372566223145, 4.200229644775391, 4.539470672607422]]",raw,True,True,False,raw,0.5365909495888626,7.665257453918457,4.942870140075684,"[5.605969429016113, 4.622321128845215]","[5.999999892132522, 5.999999995925189]",0.39373230934143066
DiagReachK2,180,KL,RR,raw,raw,development_DiagReachK2_s180_KL_RR,11,old,True,False,False,False,"[9.326419830322266, 9.586271286010742, 8.811002731323242]","[[9.326419830322266, 5.7271647453308105, 5.57744026184082], [9.586271286010742, 6.052206039428711, 5.653933048248291], [8.811002731323242, 4.618716239929199, 5.681983470916748]]","[[9.326419830322266, 5.7271647453308105, 5.57744026184082], [9.511377334594727, 6.052206039428711, 5.653933048248291], [8.811002731323242, 4.618716239929199, 5.681983470916748]]",raw,True,True,False,raw,0.6257474495129166,7.25336217880249,5.542137145996094,"[5.107234954833984, 4.149816036224365]","[5.999999775767037, 4.142673338546506]",0.39826059341430664
DiagReachK2,180,KL,RR,raw,raw,development_DiagReachK2_s180_KL_RR,12,old,False,False,False,False,"[9.319694519042969, 9.690910339355469, 9.660274505615234]","[[9.319694519042969, 5.8828935623168945, 5.574786186218262], [9.690910339355469, 6.474775314331055, 6.221740245819092], [9.660274505615234, 7.1900248527526855, 5.995645046234131]]","[[9.298956871032715, 5.8828935623168945, 5.574786186218262], [8.888711929321289, 6.474775314331055, 6.221740245819092], [7.7918596267700195, 7.1900248527526855, 5.995645046234131]]",raw,True,True,False,raw,0.5236424696683912,7.076846122741699,6.497319221496582,"[4.671038627624512, 3.9820396900177]","[5.1752057218293865, 4.833432415053957]",0.41573357582092285
DiagReachK2,180,KL,RR,raw,raw,development_DiagReachK2_s180_KL_RR,13,old,True,False,False,False,"[9.351259231567383, 9.553935050964355, 8.792587280273438]","[[9.351259231567383, 5.779389381408691, 5.508490562438965], [9.553935050964355, 6.423057556152344, 5.696956157684326], [8.792587280273438, 5.07021427154541, 4.7601704597473145]]","[[9.351259231567383, 5.779389381408691, 5.508490562438965], [9.114585876464844, 6.423057556152344, 5.696956157684326], [8.792587280273438, 5.07021427154541, 4.7601704597473145]]",raw,True,True,False,raw,0.3519721677776478,7.715363502502441,5.6349687576293945,"[5.228935241699219, 5.4068756103515625]","[6.0000000882059865, 5.257048456190179]",0.3970925807952881
DiagReachK2,180,KL,RR,raw,raw,development_DiagReachK2_s180_KL_RR,14,old,True,False,False,False,"[9.293846130371094, 9.508177757263184, 8.509963035583496]","[[9.293846130371094, 5.7366414070129395, 5.573890209197998], [9.508177757263184, 6.277371406555176, 5.654699802398682], [8.509963035583496, 4.300116539001465, 5.212719917297363]]","[[9.293846130371094, 5.7366414070129395, 5.573890209197998], [9.277034759521484, 6.277371406555176, 5.654699802398682], [8.509963035583496, 4.300116539001465, 5.212719917297363]]",raw,False,True,False,raw,0.31282295177689273,7.285498142242432,6.043515205383301,"[5.673748016357422, 3.8469345569610596]","[5.999999951463149, 3.7446141577841776]",0.4045543670654297
DiagReachK2,180,KL,RR,raw,raw,development_DiagReachK2_s180_KL_RR,15,joint_KL,False,False,False,False,"[9.340227127075195, 8.921369552612305, 8.230249404907227]","[[9.340227127075195, 5.771083354949951, 5.568610668182373], [8.921369552612305, 5.045426368713379, 5.405403137207031], [8.230249404907227, 4.162809371948242, 4.345264434814453]]","[[9.33382797241211, 5.771083354949951, 5.568610668182373], [8.921369552612305, 5.045426368713379, 5.405403137207031], [8.230249404907227, 4.162809371948242, 4.345264434814453]]",raw,True,True,False,raw,0.24954484015611583,7.939388275146484,4.928158760070801,"[5.676228046417236, 5.650315761566162]","[4.821161952014563, 6.000000001458226]",0.4467041492462158
DiagReachK2,180,KL,RR,raw,raw,development_DiagReachK2_s180_KL_RR,16,old,False,False,False,False,"[9.374258041381836, 9.728639602661133, 8.883880615234375]","[[9.374258041381836, 5.772233486175537, 5.657591819763184], [9.728639602661133, 6.293790340423584, 6.214179515838623], [8.883880615234375, 4.891884803771973, 5.322713851928711]]","[[9.374258041381836, 5.772233486175537, 5.657591819763184], [9.24985122680664, 6.293790340423584, 6.214179515838623], [8.883880615234375, 4.891884803771973, 5.322713851928711]]",raw,True,True,False,raw,0.5891841539092766,7.737912178039551,6.619441032409668,"[5.456279754638672, 4.658669471740723]","[5.955034808436545, 4.9445134286535755]",0.42173218727111816
DiagReachK2,180,KL,RR,raw,raw,development_DiagReachK2_s180_KL_RR,17,old,True,False,False,False,"[9.303130149841309, 9.586137771606445, 8.713225364685059]","[[9.303130149841309, 5.6808695793151855, 5.5556864738464355], [9.586137771606445, 6.390907287597656, 5.844590187072754], [8.713225364685059, 5.463412284851074, 4.572691917419434]]","[[9.303130149841309, 5.6808695793151855, 5.5556864738464355], [9.24131965637207, 6.390907287597656, 5.844590187072754], [8.713225364685059, 5.463412284851074, 4.572691917419434]]",raw,True,True,False,raw,0.6899561331806583,7.445146083831787,6.286151885986328,"[4.639193534851074, 4.570589542388916]","[5.665653792036512, 4.998220353591786]",0.3936793804168701
DiagReachK2,180,KL,RR,raw,raw,development_DiagReachK2_s180_KL_RR,18,old,True,False,False,False,"[9.313274383544922, 9.458945274353027, 9.068349838256836]","[[9.313274383544922, 5.711300849914551, 5.593979358673096], [9.458945274353027, 6.099222183227539, 6.001461505889893], [9.068349838256836, 5.853056907653809, 5.123795509338379]]","[[9.313274383544922, 5.711300849914551, 5.593979358673096], [9.344732284545898, 6.099222183227539, 6.001461505889893], [9.068349838256836, 5.853056907653809, 5.123795509338379]]",raw,True,True,False,raw,0.5697294858215068,7.31539249420166,5.6216325759887695,"[4.368171215057373, 4.920725345611572]","[4.466108755402447, 5.229364418164218]",0.40840625762939453
DiagReachK2,180,KL,RR,raw,raw,development_DiagReachK2_s180_KL_RR,19,old,True,False,False,False,"[9.331311225891113, 9.553197860717773, 8.673725128173828]","[[9.331311225891113, 5.824100971221924, 5.5500898361206055], [9.553197860717773, 6.357677459716797, 5.649594306945801], [8.673725128173828, 4.744833946228027, 4.8878173828125]]","[[9.331311225891113, 5.824100971221924, 5.5500898361206055], [9.254051208496094, 6.357677459716797, 5.649594306945801], [8.673725128173828, 4.744833946228027, 4.8878173828125]]",raw,False,True,False,raw,0.34552394617539334,7.830265045166016,4.60593318939209,"[5.531826496124268, 5.271124839782715]","[5.999999797728522, 5.2754890449730265]",0.42204856872558594
DiagReachK2,180,KL,RR,raw,raw,development_DiagReachK2_s180_KL_RR,20,full_PPO,False,False,False,False,"[9.298206329345703, 9.680137634277344, 8.293014526367188]","[[9.298206329345703, 5.95359992980957, 5.61025857925415], [9.680137634277344, 6.724096298217773, 5.850065231323242], [8.293014526367188, 5.804876327514648, 3.6405465602874756]]","[[9.28911018371582, 5.95359992980957, 5.61025857925415], [8.78688907623291, 6.724096298217773, 5.850065231323242], [8.293014526367188, 5.804876327514648, 3.6405465602874756]]",raw,True,True,False,raw,0.5087514414431317,7.425636291503906,6.069156646728516,"[4.680418968200684, 4.5769853591918945]","[5.3153000907986545, 4.9841185635663905]",0.7530021667480469
DiagReachK2,180,KL,RR,raw,raw,development_DiagReachK2_s180_KL_RR,21,old,True,False,False,False,"[9.320581436157227, 9.571284294128418, 8.099626541137695]","[[9.320581436157227, 5.617452621459961, 5.581539154052734], [9.571284294128418, 6.465212821960449, 6.165822505950928], [8.099626541137695, 4.44525146484375, 3.732800006866455]]","[[9.320581436157227, 5.617452621459961, 5.581539154052734], [8.905448913574219, 6.465212821960449, 6.165822505950928], [8.099626541137695, 4.44525146484375, 3.732800006866455]]",raw,True,True,False,raw,0.39555466402550377,7.642585754394531,5.419105529785156,"[5.232804775238037, 5.101578712463379]","[5.6978846769530955, 5.785447578857502]",0.6226348876953125
DiagReachK2,180,KL,RR,raw,raw,development_DiagReachK2_s180_KL_RR,22,full_PPO,False,False,False,False,"[9.316119194030762, 9.681695938110352, 8.054891586303711]","[[9.316119194030762, 5.89772891998291, 5.4981865882873535], [9.681695938110352, 6.044017791748047, 6.413531303405762], [8.054891586303711, 3.8933019638061523, 4.379420757293701]]","[[9.303714752197266, 5.89772891998291, 5.4981865882873535], [9.064278602600098, 6.044017791748047, 6.413531303405762], [8.054891586303711, 3.8933019638061523, 4.379420757293701]]",raw,True,True,False,raw,0.5375653996739539,7.802980899810791,5.103921413421631,"[5.608576774597168, 4.8196516036987305]","[5.999999888771153, 5.5600138879137795]",0.5787630081176758
