queue,task,arm,training_seed,det_reward,det_cost,det_budget_exceedance,sto_reward,sto_cost,sto_budget_exceedance,det_episodes,sto_episodes
runs_effect_v1,SafetyPointBuildingGoal1-v0,safeot_eps3,3,18.376530523887624,27.033333333333335,0.5,16.628299488839936,37.36666666666667,0.5,30,30
runs_effect_v1,SafetyRacecarBuildingButton1-v0,penalty_lambda0.1,1,2.6995489054838697,202.36666666666667,0.5,2.1579476506681226,173.06666666666666,0.6333333333333333,30,30
runs_effect_v1,SafetyRacecarBuildingButton1-v0,penalty_lambda0.1,2,3.5261927000797666,328.06666666666666,0.9,4.1722895354153025,269.96666666666664,0.9,30,30
runs_effect_v1,SafetyRacecarBuildingButton1-v0,penalty_lambda0.1,3,2.8568294892653205,210.63333333333333,0.7,3.035771470563063,196.53333333333333,0.6666666666666666,30,30
runs_effect_v1,SafetyRacecarBuildingButton1-v0,penalty_lambda10,1,-1.7044599721702798,52.333333333333336,0.16666666666666666,-1.6299821221650228,27.0,0.2,30,30
runs_effect_v1,SafetyRacecarBuildingButton1-v0,penalty_lambda10,2,-0.7803818907704411,48.0,0.3,-1.4184102740514228,20.533333333333335,0.2,30,30
runs_effect_v1,SafetyRacecarBuildingButton1-v0,penalty_lambda10,3,-1.2839253823064114,41.1,0.26666666666666666,-0.9379878588862484,15.633333333333333,0.26666666666666666,30,30
runs_effect_v1,SafetyRacecarBuildingButton1-v0,penalty_lambda1,1,0.7976867840102018,119.46666666666667,0.4,1.2395202737750566,81.43333333333334,0.4666666666666667,30,30
runs_effect_v1,SafetyRacecarBuildingButton1-v0,penalty_lambda1,2,1.3037728959072963,126.43333333333334,0.5666666666666667,1.0862722514076715,62.5,0.4,30,30
runs_effect_v1,SafetyRacecarBuildingButton1-v0,penalty_lambda1,3,0.8010304723435382,68.46666666666667,0.5333333333333333,0.2992011768600135,95.23333333333333,0.4666666666666667,30,30
runs_effect_v1,SafetyRacecarBuildingButton1-v0,safeot_eps0.1,1,-0.030566806680042503,28.566666666666666,0.3333333333333333,-0.17563822421011885,39.13333333333333,0.3,30,30
runs_effect_v1,SafetyRacecarBuildingButton1-v0,safeot_eps0.1,2,0.27623841333887306,59.93333333333333,0.5,-0.0018628120773100053,46.36666666666667,0.36666666666666664,30,30
runs_effect_v1,SafetyRacecarBuildingButton1-v0,safeot_eps0.1,3,0.49835908167339615,72.5,0.26666666666666666,0.06961528114495125,47.06666666666667,0.2,30,30
runs_effect_v1,SafetyRacecarBuildingButton1-v0,safeot_eps1,1,0.41457636225959305,26.6,0.16666666666666666,0.16804043819671158,21.5,0.23333333333333334,30,30
runs_effect_v1,SafetyRacecarBuildingButton1-v0,safeot_eps1,2,0.611365112517764,91.6,0.43333333333333335,0.4280202365405617,40.53333333333333,0.3,30,30
runs_effect_v1,SafetyRacecarBuildingButton1-v0,safeot_eps1,3,0.1783751436185647,42.766666666666666,0.3333333333333333,-0.14860534346452495,27.8,0.3333333333333333,30,30
runs_effect_v1,SafetyRacecarBuildingButton1-v0,safeot_eps3,1,0.17957107942450495,125.86666666666666,0.3333333333333333,-0.03281889439727486,62.2,0.26666666666666666,30,30
runs_effect_v1,SafetyRacecarBuildingButton1-v0,safeot_eps3,2,0.5910479656436701,64.53333333333333,0.4,0.10499784303805709,37.36666666666667,0.3,30,30
runs_effect_v1,SafetyRacecarBuildingButton1-v0,safeot_eps3,3,0.02583159824968387,42.96666666666667,0.2,-0.009635585230153901,35.9,0.3,30,30
runs_effect_v2,SafetyCarBuildingGoal2-v0,safeot_eps1_cap10,1,2.3366700612417257,67.03333333333333,0.4,2.3004739765932265,31.566666666666666,0.26666666666666666,30,30
runs_effect_v2,SafetyCarBuildingGoal2-v0,safeot_eps1_cap3,1,-0.4297809167533106,46.266666666666666,0.4,3.455725412756298,25.166666666666668,0.4,30,30
runs_effect_v2,SafetyCarBuildingGoal2-v0,safeot_eps1_cap3,2,3.1062935465310706,18.4,0.3,2.3531096031179413,12.033333333333333,0.16666666666666666,30,30
