job,env,seed,arm,reward,success,joint,any_event,actual_steps,eval_steps,model_queries,model_transitions,seconds,effective_updates,pathwise_installations,PPO_installations,solver_recovery,query_exhaustion,cost0,event0,excess0,cost1,event1,excess1,cost2,event2,excess2
development_DiagReachK3_s180_DT,DiagReachK3,180,DT,9.754376488112552,1.0,0.875,0.125,12000,3744,599,143760,403.74867510795593,11,8,3,0,0,6.7193232881717195,0.02564102564102564,0.0002568789890834251,6.326684039372664,0.10897435897435898,0.000856057426633215,12.03095458409725,0.01282051282051282,6.73685318384415e-05
development_DiagReachK3_s180_SM,DiagReachK3,180,SM,9.383095679116938,1.0,0.9935897435897436,0.00641025641025641,12000,3744,577,138480,90.38655805587769,7,2,5,0,0,5.713897289373936,0.0,0.0,6.194499159470583,0.00641025641025641,2.3520909822904148e-05,10.84515570065914,0.0,0.0
development_DiagReachK3_s180_ST,DiagReachK3,180,ST,9.444564088253463,1.0,1.0,0.0,12000,3744,2381,571440,1393.2358493804932,7,1,6,19,3,6.282715589572222,0.0,0.0,5.803362146402017,0.0,0.0,11.009337147076925,0.0,0.0
development_DiagReachK3_s186_DM,DiagReachK3,186,DM,9.507703334445958,1.0,0.9903846153846154,0.009615384615384616,12000,3744,674,161760,55.83159375190735,5,0,5,0,0,6.7210294390336065,0.009615384615384616,9.267561601631777e-05,5.916236483133757,0.0,0.0,11.587635407081017,0.0,0.0
development_DiagReachK3_s186_DT,DiagReachK3,186,DT,9.162554076831233,1.0,1.0,0.0,12000,3744,927,222480,481.5623209476471,14,10,4,0,0,5.918920547534258,0.0,0.0,5.674158463111291,0.0,0.0,10.50268558661143,0.0,0.0
development_DiagReachK3_s186_SM,DiagReachK3,186,SM,9.502340181920104,1.0,1.0,0.0,12000,3744,569,136560,65.36106657981873,5,2,3,0,0,6.531867514818143,0.0,0.0,6.134404614949838,0.0,0.0,11.60937413191184,0.0,0.0
development_DiagReachK3_s186_ST,DiagReachK3,186,ST,9.507703334445958,1.0,0.9903846153846154,0.009615384615384616,12000,3744,2504,600960,1463.735078573227,5,0,5,18,5,6.7210294390336065,0.009615384615384616,9.267561601631777e-05,5.916236483133757,0.0,0.0,11.587635407081017,0.0,0.0
development_DiagReachK3_s187_DM,DiagReachK3,187,DM,9.369375688729102,1.0,0.9967948717948718,0.003205128205128205,12000,3744,660,158400,64.75643181800842,3,0,3,0,0,5.290299027394026,0.0,0.0,6.218068975668687,0.003205128205128205,2.2416989478835936e-06,10.391476704524113,0.0,0.0
development_DiagReachK3_s187_DT,DiagReachK3,187,DT,9.847567997624672,1.0,0.9519230769230769,0.04807692307692308,12000,3744,465,111600,255.3881778717041,9,9,0,0,0,6.861048927673926,0.04487179487179487,0.00023173259728120755,6.347048580646515,0.016025641025641024,7.511737078604635e-05,12.105844470170828,0.003205128205128205,7.174565241886877e-06
development_DiagReachK3_s187_SM,DiagReachK3,187,SM,9.384863485018604,1.0,1.0,0.0,12000,3744,589,141360,56.45925235748291,3,0,3,0,0,6.520845148807917,0.0,0.0,5.53898553053538,0.0,0.0,11.0043588357094,0.0,0.0
development_DiagReachK3_s187_ST,DiagReachK3,187,ST,9.384863485018604,1.0,1.0,0.0,12000,3744,2242,538080,1401.9453711509705,3,0,3,23,2,6.520845148807917,0.0,0.0,5.53898553053538,0.0,0.0,11.0043588357094,0.0,0.0
