env,seed,cycle,anchor,kernel,raw_reward,shaped_reward,penalty,joint,success,any_event,cost_mean,event,excess
DiagReachK2,180,18,3,sample_timeKL,7.424833185884109,6.1218114457157755,1.303021740168333,0.265625,0.46875,0.421875,"[5.1934913117438555, 4.39897723775357]","[0.3125, 0.234375]","[0.0814778618514538, 0.023240177581707634]"
DiagReachK2,180,18,3,sample_timeW2,7.410627420534729,6.116837275688885,1.2937901448458433,0.265625,0.453125,0.421875,"[5.184290798380971, 4.369304491672665]","[0.3125, 0.234375]","[0.08183271810412406, 0.02175949017206828]"
DiagReachK2,180,18,3,sample_cfKL,7.198081625350824,6.245867678620925,0.9522139467298985,0.296875,0.453125,0.34375,"[4.696777440607548, 4.227477820124477]","[0.265625, 0.203125]","[0.060152050107717514, 0.018091914554436997]"
DiagReachK2,180,18,3,sample_cfW2,7.200446580801144,6.245056237358585,0.9553903434425592,0.296875,0.453125,0.34375,"[4.702142424881458, 4.221540936268866]","[0.265625, 0.203125]","[0.060840806613365814, 0.017486993223428723]"
DiagReachK2,180,18,3,det_old,9.217018489899056,9.217018489899056,0.0,1.0,1.0,0.0,"[5.702320352196693, 5.43986102193594]","[0.0, 0.0]","[0.0, 0.0]"
DiagReachK2,180,18,3,det_timeKL,9.16229319918202,9.141457659855948,0.02083553932607174,0.640625,1.0,0.359375,"[5.940571404993534, 5.2974542155861855]","[0.359375, 0.0]","[0.004167106002569195, 0.0]"
DiagReachK2,180,18,3,det_timeW2,9.15129584784736,9.134067972778576,0.01722787506878376,0.6875,1.0,0.3125,"[5.926496431231499, 5.265120051801205]","[0.3125, 0.0]","[0.0034455731511115993, 0.0]"
DiagReachK2,180,18,3,det_cfKL,9.065701700220963,9.065701700220963,0.0,1.0,1.0,0.0,"[5.228448189795017, 5.023478701710701]","[0.0, 0.0]","[0.0, 0.0]"
DiagReachK2,180,18,3,det_cfW2,9.067429019958219,9.067429019958219,0.0,1.0,1.0,0.0,"[5.238263003528118, 5.005882270634174]","[0.0, 0.0]","[0.0, 0.0]"
DiagReachK2,186,6,6,sample_old,6.781157117500151,5.620838675811138,1.1603184416890144,0.25,0.375,0.328125,"[4.658267459832132, 3.7851554383523762]","[0.234375, 0.125]","[0.06026069695750873, 0.02154180034995079]"
DiagReachK2,186,6,6,sample_timeKL,6.726891746487672,5.722443008538539,1.004448737949133,0.28125,0.40625,0.3125,"[4.742200991138816, 3.456902383826673]","[0.25, 0.09375]","[0.06016147881746292, 0.01240060354272525]"
DiagReachK2,186,6,6,sample_timeW2,6.69734860695662,5.7294305988563785,0.9679180081002414,0.28125,0.40625,0.296875,"[4.764511600136757, 3.3263350185006857]","[0.25, 0.0625]","[0.06003726149598758, 0.00971147169669469]"
DiagReachK2,186,6,6,sample_cfKL,6.753126899860217,5.845182403139188,0.9079444967210293,0.3125,0.4375,0.359375,"[4.781158238649368, 3.503117518965155]","[0.28125, 0.109375]","[0.0532894010345141, 0.013476433853308357]"
DiagReachK2,186,6,6,sample_cfW2,6.711855882813689,5.8517154194763865,0.8601404633373022,0.3125,0.4375,0.34375,"[4.763555619865656, 3.3967856783419847]","[0.28125, 0.09375]","[0.05175069967905681, 0.011196856697400413]"
DiagReachK2,186,6,6,det_old,8.826416974644964,8.826416974644964,0.0,1.0,1.0,0.0,"[4.8593065440654755, 4.533664844930172]","[0.0, 0.0]","[0.0, 0.0]"
DiagReachK2,186,6,6,det_timeKL,8.697353490823662,8.697353490823662,0.0,1.0,1.0,0.0,"[5.110952600836754, 3.9669859930872917]","[0.0, 0.0]","[0.0, 0.0]"
DiagReachK2,186,6,6,det_timeW2,8.635778190475685,8.635778190475685,0.0,1.0,1.0,0.0,"[5.156825363636017, 3.758704759180546]","[0.0, 0.0]","[0.0, 0.0]"
DiagReachK2,186,6,6,det_cfKL,8.856331340420002,8.856331340420002,0.0,1.0,1.0,0.0,"[5.216710716485977, 4.158146299421787]","[0.0, 0.0]","[0.0, 0.0]"
DiagReachK2,186,6,6,det_cfW2,8.827549914882546,8.827549914882546,0.0,1.0,1.0,0.0,"[5.193626582622528, 3.9875621795654297]","[0.0, 0.0]","[0.0, 0.0]"
DiagReachK2,186,18,8,sample_old,7.649889213706047,6.5066210159311595,1.143268197774887,0.375,0.5625,0.34375,"[4.908256443217397, 4.804045155644417]","[0.1875, 0.203125]","[0.03388715535402298, 0.049272014449040086]"
DiagReachK2,186,18,8,sample_timeKL,7.577228453206043,6.689009880842786,0.8882185723632574,0.375,0.5,0.359375,"[4.996680665761232, 4.544584570452571]","[0.21875, 0.15625]","[0.04042869433760643, 0.03145513807733854]"
DiagReachK2,186,18,8,sample_timeW2,7.527581939420725,6.671553195401157,0.856028744019568,0.375,0.484375,0.34375,"[4.992188099771738, 4.444650179706514]","[0.21875, 0.140625]","[0.0425557183722655, 0.028236582875251767]"
DiagReachK2,186,18,8,sample_cfKL,7.506618483393595,6.717656368791268,0.7889621146023273,0.40625,0.53125,0.3125,"[4.8903039414435625, 4.365992372855544]","[0.1875, 0.15625]","[0.0352761062482993, 0.030270542949438102]"
DiagReachK2,186,18,8,sample_cfW2,7.4437043215435095,6.706922585638995,0.7367817359045148,0.40625,0.515625,0.3125,"[4.918234875425696, 4.187365929130465]","[0.203125, 0.125]","[0.038117727885643646, 0.025399903456370037]"
