method,task,variant,margin,seed,mode,ck,ver_blocks,ver_eps,ver_hv,ver_rate,ver_ret,ver_soft,jc,csr25
SafeOT-typed,pg2,v1c85,0.85,s3,select,995002,2,208,5,0.02403846153846154,15.643425722630449,21.01923076923077,21.072115384615387,0.6538461538461539
SafeOT-typed,pg2,v1c9,0.90,s1,final,995002,3,312,16,0.05128205128205128,20.23930672681159,20.509615384615383,20.653846153846153,0.6762820512820512
SafeOT-typed,pg2,v1c9,0.90,s2,final,995002,3,312,17,0.05448717948717949,22.187619645146285,29.23076923076923,29.39102564102564,0.5576923076923077
SafeOT-typed,pg2,v1c9,0.90,s3,final,995002,3,312,17,0.05448717948717949,20.265334219285386,26.259615384615387,26.40705128205128,0.5544871794871795
SafeOT-typed,cg2,v1c,0.80,s1,final,995002,3,312,20,0.0641025641025641,15.528114113677683,14.044871794871796,14.26602564102564,0.7788461538461539
SafeOT-typed,cg2,v1c,0.80,s2,final,995002,3,312,12,0.038461538461538464,15.731283775882451,16.977564102564102,17.028846153846153,0.7403846153846154
SafeOT-typed,cg2,v1c,0.80,s3,final,995002,3,312,14,0.04487179487179487,16.82288861847739,20.496794871794872,20.59294871794872,0.7051282051282052
SafeOT-typed,cg2,v1c,0.80,s4,final,995002,3,312,7,0.022435897435897436,17.960466232328056,23.333333333333332,23.413461538461537,0.6762820512820512
SafeOT-typed,pb2,v1c,0.80,s1,final,995002,3,312,9,0.028846153846153848,0.0685860638259283,0.36538461538461536,0.6282051282051282,0.9871794871794872
SafeOT-typed,pb2,v1c,0.80,s2,final,995002,3,312,10,0.03205128205128205,0.14726354021349405,1.3621794871794872,1.8685897435897436,0.9743589743589743
SafeOT-typed,pg2,v1c,0.80,s1,final,995002,3,312,0,0.0,3.2166412561264237,1.1602564102564104,1.1602564102564104,0.9839743589743589
SafeOT-typed,pg2,v1c,0.80,s1,select,995002,4,416,1,0.002403846153846154,3.3399393182825783,2.050480769230769,2.0528846153846154,0.9783653846153846
SafeOT-typed,pg2,v1c,0.80,s2,final,995002,3,312,0,0.0,6.825503990240047,4.266025641025641,4.266025641025641,0.9551282051282052
SafeOT-typed,pg2,v1c,0.80,s2,select,700000,4,416,4,0.009615384615384616,6.734872740216259,5.271634615384615,5.348557692307692,0.9302884615384616
SafeOT-typed,pg2,v1c,0.80,s3,final,995002,3,312,0,0.0,6.016535459718507,2.3461538461538463,2.3461538461538463,0.9871794871794872
SafeOT-typed,pg2,v1c,0.80,s3,select,995002,4,416,0,0.0,6.338028949937596,2.980769230769231,2.980769230769231,0.9783653846153846
SafeOT-typed,pb2,v1dL,geo0.30/0.40,s1,final,995002,3,312,6,0.019230769230769232,-0.3956224345086638,0.7884615384615384,0.967948717948718,0.9871794871794872
SafeOT-typed,pb2,v1dL,geo0.30/0.40,s2,final,995002,3,312,5,0.016025641025641024,-0.26225859750734076,0.16025641025641027,0.28525641025641024,0.9967948717948718
SafeOT-typed,cg2,v1e65,0.65g,s1,final,995002,3,312,0,0.0,9.32935820699355,4.66025641025641,4.66025641025641,0.9647435897435898
SafeOT-typed,cg2,v1e65,0.65g,s1,select,995002,2,208,0,0.0,9.151108620669724,4.788461538461538,4.788461538461538,0.9663461538461537
SafeOT-typed,cg2,v1e65,0.65g,s2,final,995002,3,312,1,0.003205128205128205,12.274751342446384,12.714743589743591,12.721153846153847,0.8012820512820512
SafeOT-typed,cg2,v1e75,0.75g,s1,final,995002,3,312,7,0.022435897435897436,21.162559659010103,27.125,27.15705128205128,0.592948717948718
SafeOT-typed,cg2,v1e75,0.75g,s1,select,900000,4,416,8,0.019230769230769232,19.970623439979338,28.951923076923077,28.98076923076923,0.5721153846153846
SafeOT-typed,cg2,v1e75,0.75g,s2,final,995002,3,312,4,0.01282051282051282,21.17664783732616,28.692307692307693,28.71474358974359,0.5608974358974359
