env,metric,seed,kernel,raw_reward,shaped_reward,penalty,any_event,success,joint,cost_mean,event,excess
DiagReachK2,W2,187,sample,0.32463565907514536,-0.723161845504503,1.0477975045796484,0.140625,0.0,-0.078125,"[0.7547761609312147, 0.19965561549179256]","[0.1015625, 0.0546875]","[0.052778974175453214, 0.010773539543151855]"
DiagReachK2,W2,187,det,0.15835945216163339,-0.08778514385998903,0.24614459602162242,0.5,0.0,-0.5,"[1.173082983121276, 0.3644853010773659]","[0.4921875, 0.3203125]","[0.039550398165980966, 0.006058248380819958]"
DiagReachK3,KL,180,sample,0.18168226957343503,-0.42187471499644236,0.6035569845698774,0.1171875,0.0,-0.0234375,"[0.39782719034701586, 0.26789357559755445, 0.6831991486251354]","[0.0859375, 0.046875, 0.0703125]","[0.01702850471649852, 0.013269771750156697, 0.008881117105484006]"
DiagReachK3,KL,180,det,0.23393437522524962,0.1553181491332687,0.07861622609198093,0.53125,0.0,-0.53125,"[0.6521445289254189, 0.6101564317941666, 1.2492585554718971]","[0.484375, 0.046875, 0.0]","[0.015138757015977587, 0.0004939769323055558, 0.0]"
DiagReachK3,KL,186,sample,0.20320929953497924,-0.4605640271339091,0.6637733266688883,0.078125,-0.0078125,-0.0078125,"[0.22886190004646778, 0.41565302945673466, 0.661160359159112]","[0.078125, 0.1015625, 0.078125]","[0.009831245456423075, 0.021464905486657082, 0.014881241917610172]"
DiagReachK3,KL,186,det,0.21236270670970114,-0.1756310252919313,0.38799373200163245,0.0390625,0.0,-0.0390625,"[0.2763594947755337, 0.8924408033490181, 1.1733037680387497]","[0.0390625, 0.484375, 0.5]","[0.021343832569462907, 0.013581273647455067, 0.02004552543163299]"
DiagReachK3,KL,187,sample,0.5261789736800324,-0.798478423664676,1.3246573973447084,0.171875,0.0390625,-0.015625,"[0.8434718551579863, 0.924748158082366, 1.759719434659928]","[0.0859375, 0.1640625, 0.1640625]","[0.029547485389879752, 0.03888257478292172, 0.023735858798027035]"
DiagReachK3,KL,187,det,0.6038992672391021,-0.43867561666520594,1.042574883904308,1.0,-0.0078125,-1.0,"[1.6182419620454311, 1.5412373580038548, 3.085645705461502]","[0.890625, 0.5078125, 1.0]","[0.07237120345234872, 0.04083132973084083, 0.03721685886383057]"
DiagReachK3,W2,180,sample,0.20270216676853892,-0.44329683363921557,0.6459990004077554,0.1484375,0.0,-0.0390625,"[0.44090617541223764, 0.3091720058582723, 0.7615325767546892]","[0.1015625, 0.0625, 0.0703125]","[0.018731365778616504, 0.014177259917442623, 0.009556535482406616]"
DiagReachK3,W2,180,det,0.253802021570948,0.17593378021985018,0.07786824135109782,0.5390625,0.0,-0.5390625,"[0.7346078939735889, 0.6735667698085308, 1.3902832046151161]","[0.484375, 0.0546875, 0.0]","[0.014985026525599614, 0.0005210821445171664, 0.0]"
DiagReachK3,W2,186,sample,0.272997905479329,-0.6034056816924789,0.8764035871718079,0.0859375,0.0078125,-0.0234375,"[0.31303113140165806, 0.5220335896592587, 0.853769063949585]","[0.0625, 0.125, 0.125]","[0.013854206140552258, 0.02691038296772883, 0.019902893900871285]"
DiagReachK3,W2,186,det,0.22738011891579113,-0.28522890654767075,0.5126090254634619,0.28125,0.0,-0.28125,"[0.3488994166254997, 1.019260235130787, 1.3712047562003136]","[0.28125, 0.5, 0.5]","[0.021057202347687314, 0.02024199011234137, 0.025368929505348192]"
DiagReachK3,W2,187,sample,0.44769271083934825,-0.7190972213371234,1.1667899321764708,0.109375,0.0078125,-0.03125,"[0.72883778414689, 0.7782082739286125, 1.5091634020209312]","[0.0703125, 0.1015625, 0.1328125]","[0.02632572555116243, 0.03391463882648029, 0.02165380835533143]"
DiagReachK3,W2,187,det,0.45647635970162703,-0.15264182902974532,0.6091181887313724,1.0,0.0,-1.0,"[1.3866244480013847, 1.2608796432614326, 2.5771387815475464]","[0.890625, 0.5, 0.71875]","[0.04954961634107998, 0.030751680525449604, 0.01703018844127655]"
