anchor,env,seed,cycle,candidate,channel,quantity,value,conditional_ci95_low,conditional_ci95_high
3,DiagReachK2,180,18,rawKL,cost_1,optimism_sample,0.4909211781500572,0.44814163415419994,0.529566355810567
3,DiagReachK2,180,18,rawKL,cost_1,optimism_det,0.36953619892436207,0.3654904653011555,0.3734004540993565
3,DiagReachK2,180,18,rawKL,cost_1,Gsample,0.3150990894064307,0.27645391174592077,0.3578786334022879
3,DiagReachK2,180,18,rawKL,cost_1,Gdet,0.43648406863212585,0.4326198134571314,0.44052980225533245
3,DiagReachK2,180,18,rawKL,cost_1,Ghold_timeLOO,0.35157321955493753,0.16021931305389286,0.5715783295575556
3,DiagReachK2,180,18,rawW2,shaped,optimism_sample,-1.2620364481536401,-1.4857801482261104,-1.0553895491698844
3,DiagReachK2,180,18,rawW2,shaped,optimism_det,-1.6383096738504945,-1.669682254928234,-1.6028278669190739
3,DiagReachK2,180,18,rawW2,shaped,Gsample,-0.5077155644038384,-0.7143624633875941,-0.2839718643313682
3,DiagReachK2,180,18,rawW2,shaped,Gdet,-0.13144233870698388,-0.16692414563840446,-0.10006975762924439
3,DiagReachK2,180,18,rawW2,shaped,Ghold_timeLOO,-0.3336883821282937,-0.8556391464527071,0.026883162384223065
3,DiagReachK2,180,18,rawW2,raw,optimism_sample,0.13402920463465665,0.10769850573022924,0.15935638755075973
3,DiagReachK2,180,18,rawW2,raw,optimism_det,0.2025088835242961,0.19933590531194467,0.20532382234248778
3,DiagReachK2,180,18,rawW2,raw,Gsample,0.16804484073429657,0.14271765781819348,0.19437553963872398
3,DiagReachK2,180,18,rawW2,raw,Gdet,0.09956516184465711,0.09675022302646544,0.10273814005700854
3,DiagReachK2,180,18,rawW2,raw,Ghold_timeLOO,0.2343650757204583,0.13917415681229756,0.3241007941868186
3,DiagReachK2,180,18,rawW2,penalty,optimism_sample,1.3960655452014246,1.2025700608996042,1.6067491218476855
3,DiagReachK2,180,18,rawW2,penalty,optimism_det,1.8408184497879185,1.806218341508072,1.870757077055175
3,DiagReachK2,180,18,rawW2,penalty,Gsample,0.675760405138135,0.46507682849187404,0.8692558894399552
3,DiagReachK2,180,18,rawW2,penalty,Gdet,0.231007500551641,0.2010688732843846,0.2656076088314876
3,DiagReachK2,180,18,rawW2,penalty,Ghold_timeLOO,0.5680534362921934,0.17441178046941802,1.134164788158034
3,DiagReachK2,180,18,rawW2,cost_0,optimism_sample,0.20387871176642514,0.18249988848981596,0.22663836660501693
3,DiagReachK2,180,18,rawW2,cost_0,optimism_det,-0.016553707563456532,-0.01910191509234571,-0.013980189853486062
3,DiagReachK2,180,18,rawW2,cost_0,Gsample,0.31248341873288155,0.2897237638942897,0.3338622420094907
3,DiagReachK2,180,18,rawW2,cost_0,Gdet,0.5329158380627632,0.5303423203527927,0.5354640455916524
3,DiagReachK2,180,18,rawW2,cost_0,Ghold_timeLOO,0.42956042007809175,0.25231433973933487,0.6108781162830154
3,DiagReachK2,180,18,rawW2,cost_1,optimism_sample,0.4909211781500572,0.44814163415419994,0.529566355810567
3,DiagReachK2,180,18,rawW2,cost_1,optimism_det,0.36953619892436207,0.3654904653011555,0.3734004540993565
3,DiagReachK2,180,18,rawW2,cost_1,Gsample,0.3150990894064307,0.27645391174592077,0.3578786334022879
3,DiagReachK2,180,18,rawW2,cost_1,Gdet,0.43648406863212585,0.4326198134571314,0.44052980225533245
3,DiagReachK2,180,18,rawW2,cost_1,Ghold_timeLOO,0.35157321955493753,0.16021931305389286,0.5715783295575556
6,DiagReachK2,186,6,shapedKL,shaped,optimism_sample,0.3549378107169504,0.22549906179427032,0.47523028614212076
6,DiagReachK2,186,6,shapedKL,shaped,optimism_det,0.6283619214871521,0.6178085006427989,0.6387474811451366
6,DiagReachK2,186,6,shapedKL,shaped,Gsample,0.1531142344386808,0.03282175901351039,0.28255298336136087
6,DiagReachK2,186,6,shapedKL,shaped,Gdet,-0.12030987633152093,-0.13069543598950537,-0.10975645548716774
