job,env,seed,metric,estimator,cycle,selected_source,accepted,effective_update,middle_solver_accepted,middle_distance_active,recovery,reward_gain,reward_advantage_std,reward_advantage_mean,Jhat,predicted_cost,cost_advantage_std,baseline_seconds,solver_seconds,raw_KL,raw_W2
development_DiagReachK2_s186_W2_time_loo,DiagReachK2,186,W2,time_loo,19,joint_W2,True,True,True,True,False,0.5551626191547607,0.9116809712418619,8.050895606478056e-08,"[5.244396686553955, 4.165887832641602]","[5.333772463759391, 5.175895656752806]","[0.8809916366005605, 1.335392064009667]",0.0,0.40723133087158203,0.020931317921367622,0.019700605627986995
development_DiagReachK2_s186_W2_time_loo,DiagReachK2,186,W2,time_loo,20,full_PPO,True,True,True,True,False,0.38920193848761503,1.5777238147544457,-1.6740523278713228e-08,"[5.264466762542725, 4.891237735748291]","[5.041253428482666, 4.423182523171474]","[0.8856888639197478, 1.2536706321746043]",0.0,0.3992342948913574,0.014595651454799408,0.01970060701348729
development_DiagReachK2_s186_W2_time_loo,DiagReachK2,186,W2,time_loo,21,old,True,False,True,True,False,1.174705489924758,1.7245005424724744,-3.8067810237407684e-08,"[4.753304481506348, 5.782990455627441]","[4.550815323620583, 5.675277052028922]","[1.3227500017210536, 1.3325986816503763]",0.0,0.3809225559234619,0.016817721512370827,0.019700607058451912
development_DiagReachK2_s186_W2_time_loo,DiagReachK2,186,W2,time_loo,22,old,True,False,True,True,False,2.263189846402208,2.98118031175118,-1.3969838619232178e-09,"[5.3775315284729, 5.182250022888184]","[4.094093260475738, 4.406013323491054]","[1.4956982471525035, 1.2286585302410669]",0.0,0.41966700553894043,0.014915781204716407,0.0197006100699131
development_DiagReachK2_s186_W2_time_loo,DiagReachK2,186,W2,time_loo,23,old,True,False,True,True,False,1.4228510725142833,1.5456601091863245,-1.3015232980251312e-08,"[4.626093864440918, 5.150426387786865]","[5.415420136104725, 5.103530399133611]","[1.2981024421754113, 1.3467581015938122]",0.0,0.3904285430908203,0.022035885642694132,0.01970060836785114
development_DiagReachK2_s186_W2_time_loo,DiagReachK2,186,W2,time_loo,24,joint_W2,True,True,True,True,False,2.254029204619504,2.805297886714604,-4.6651499966780346e-08,"[4.754708290100098, 5.285186290740967]","[4.708900942086904, 5.348983953289961]","[1.496554945852942, 1.4254397205295852]",0.0,0.3980906009674072,0.020355462435925075,0.019700610116085298
development_DiagReachK2_s187_KL_cf_state,DiagReachK2,187,KL,cf_state,0,joint_KL,True,True,True,True,False,1.817375433738988,3.148136900540298,-0.08523620524637747,"[4.442942142486572, 3.63773775100708]","[3.5607872755542433, 4.067119928116761]","[2.2570801720787337, 1.9580201098468435]",0.004504319280385971,0.4239952564239502,0.010000000055558329,0.017247981676744784
development_DiagReachK2_s187_KL_cf_state,DiagReachK2,187,KL,cf_state,1,old,True,False,True,True,False,1.4173588198312401,2.7581805151230587,-0.021223428803946513,"[4.4289655685424805, 4.7466044425964355]","[3.0322394418771585, 3.784456784554843]","[2.739983684981432, 1.8610350941043707]",0.005089852958917618,0.3998405933380127,0.00999999942494174,0.020367384338217574
development_DiagReachK2_s187_KL_cf_state,DiagReachK2,187,KL,cf_state,2,old,True,False,True,True,False,1.6293149173087351,3.0029725603558677,0.02843344375328268,"[3.624995470046997, 3.6532464027404785]","[3.4674563767181854, 2.6574303707659412]","[1.8159973061820869, 2.029035738517193]",0.0041711051017045975,0.3951902389526367,0.010000000743536337,0.015171302567581035
development_DiagReachK2_s187_KL_cf_state,DiagReachK2,187,KL,cf_state,3,old,True,False,True,True,False,2.29865186087444,2.816471286019164,-0.0667514613683854,"[3.855043888092041, 3.7746665477752686]","[3.85254398951823, 3.5324132313137735]","[1.3860735551294998, 1.9831802706166675]",0.004369089379906654,0.4101440906524658,0.010000000883540146,0.015228622275114198
development_DiagReachK2_s187_KL_cf_state,DiagReachK2,187,KL,cf_state,4,full_PPO,True,True,True,True,False,1.171883329561143,2.580316320036277,-0.09433642223863034,"[4.650010108947754, 4.085371971130371]","[3.7742394317515453, 3.6721775267900565]","[2.1654274497028325, 1.5686896175046712]",0.0041359057649970055,0.42302656173706055,0.010000002057812008,0.018765015204668774
development_DiagReachK2_s187_KL_cf_state,DiagReachK2,187,KL,cf_state,5,full_PPO,False,False,True,True,False,0.5791595560803898,0.9978081503470657,-0.05623091642559961,"[4.007914066314697, 3.028872013092041]","[4.4316991177913305, 3.394848963721291]","[1.2794094214753908, 1.1269956752097665]",0.004423527978360653,0.4069633483886719,0.010000000922953788,0.016060837882326883
development_DiagReachK2_s187_KL_cf_state,DiagReachK2,187,KL,cf_state,6,old,True,False,True,True,False,1.6911546992366187,2.3868772991993197,-0.04745193779649858,"[4.836029529571533, 2.9132239818573]","[3.819858472705712, 2.325144701850125]","[1.9545493620970387, 1.675612007241372]",0.004416174255311489,0.4284381866455078,0.009999998826668587,0.017574494583007215
development_DiagReachK2_s187_KL_cf_state,DiagReachK2,187,KL,cf_state,7,full_PPO,True,True,True,True,False,1.6059351791981538,2.038753774780612,-0.09771455064688853,"[4.2942609786987305, 2.057952404022217]","[4.666446620825371, 1.3303815723827566]","[1.6904571012773222, 1.7756741464306323]",0.004175884649157524,0.40488171577453613,0.01000000048943319,0.024507240804202333
development_DiagReachK2_s187_KL_cf_state,DiagReachK2,187,KL,cf_state,8,old,True,False,True,True,False,1.498122397765669,2.406637586119023,-0.06639878776401995,"[5.634964942932129, 3.14456844329834]","[4.961583770252675, 3.286247249145379]","[2.3566214115571538, 1.063179742745814]",0.004413762129843235,0.3807346820831299,0.010000000729811942,0.015966150936466535
development_DiagReachK2_s187_KL_cf_state,DiagReachK2,187,KL,cf_state,9,joint_KL,True,True,True,True,False,0.6964325901127694,1.2992229458978741,-0.027989477500526536,"[4.727137088775635, 2.953904628753662]","[4.753300809125697, 3.818361244458239]","[1.7744288076888834, 1.706913388178081]",0.004228183068335056,0.39745330810546875,0.010000003322410475,0.027280196282827185
development_DiagReachK2_s187_KL_cf_state,DiagReachK2,187,KL,cf_state,10,old,True,False,True,True,False,33.758491486370104,36.63920106879989,-5.415332554724311,"[4.299217700958252, 4.456435680389404]","[3.905644565610869, 4.056612648765937]","[1.754431213730821, 1.8481890652227788]",0.004270507022738457,0.49503254890441895,0.009999999759715949,0.013317441679289565
