env,seed,anchor,target,metric,channel,old_sample_risk,old_det_risk,predicted_sample_risk,measured_sample_risk,measured_det_risk,predicted_delta,sample_delta,det_delta,proxy_minus_sample,sample_minus_det,proxy_minus_det,outside_probability_range
DiagReachK3,180,16,shaped,KL,0,0.203125,0.03125,0.16646153163898475,0.171875,0.0,-0.03666346836101524,-0.03125,-0.03125,-0.005413468361015243,0.0,-0.005413468361015243,False
DiagReachK3,180,16,shaped,KL,1,0.125,0.0,0.1299378017948278,0.125,0.0,0.004937801794827799,0.0,0.0,0.004937801794827799,0.0,0.004937801794827799,False
DiagReachK3,180,16,shaped,KL,2,0.09375,0.0,0.09003140429902486,0.078125,0.0,-0.0037185957009751493,-0.015625,0.0,0.01190640429902485,-0.015625,-0.0037185957009751493,False
DiagReachK3,180,16,shaped,KL,any,0.296875,0.03125,0.2782339821695378,0.265625,0.0,-0.01864101783046218,-0.03125,-0.03125,0.012608982169537819,0.0,0.012608982169537819,False
DiagReachK3,180,16,shaped,W2,0,0.203125,0.03125,0.16219428779711578,0.15625,0.0,-0.040930712202884224,-0.046875,-0.03125,0.005944287797115776,-0.015625,-0.009680712202884224,False
DiagReachK3,180,16,shaped,W2,1,0.125,0.0,0.1179607859898171,0.09375,0.0,-0.007039214010182895,-0.03125,0.0,0.024210785989817105,-0.03125,-0.007039214010182895,False
DiagReachK3,180,16,shaped,W2,2,0.09375,0.0,0.07481651850981749,0.078125,0.0,-0.018933481490182508,-0.015625,0.0,-0.0033084814901825077,-0.015625,-0.018933481490182508,False
DiagReachK3,180,16,shaped,W2,any,0.296875,0.03125,0.2665992403961501,0.21875,0.0,-0.03027575960384994,-0.078125,-0.03125,0.04784924039615006,-0.046875,0.0009742403961500584,False
DiagReachK3,180,16,raw,KL,0,0.203125,0.03125,0.25084874021179066,0.21875,0.96875,0.047723740211790655,0.015625,0.9375,0.032098740211790655,-0.921875,-0.8897762597882093,False
DiagReachK3,180,16,raw,KL,1,0.125,0.0,0.15815021293059744,0.171875,0.0,0.03315021293059744,0.046875,0.0,-0.013724787069402562,0.046875,0.03315021293059744,False
