env,seed,cycle,anchor,kernel,channel,budget,mean_cost,cost_over_budget,q50,q90,q95,q99,event,positive_excess,any_event,success,joint,raw_reward,shaped_reward,penalty,mean_feasible_with_events
DiagReachK3,187,0,25,sample_KL,1,6.5,3.6713006496429443,0.5648154845604529,3.5375442504882812,6.485260009765625,7.533425331115723,9.346242904663086,0.1015625,0.02294046718340654,0.265625,0.3125,0.2578125,6.215422630310059,5.255675315856934,0.9597476124763489,True
DiagReachK3,187,0,25,sample_KL,2,12.5,6.8295207023620605,0.5463616561889648,6.923371315002441,11.534493446350098,13.030479431152344,15.585209846496582,0.0625,0.009992966651916506,0.265625,0.3125,0.2578125,6.215422630310059,5.255675315856934,0.9597476124763489,True
DiagReachK3,187,0,25,sample_W2,0,7.0,4.547342777252197,0.6496203967503139,4.5541486740112305,7.969937324523926,9.0618896484375,10.512699127197266,0.203125,0.040874599878277094,0.265625,0.3125,0.2578125,6.210843086242676,5.2385101318359375,0.9723329544067383,True
DiagReachK3,187,0,25,sample_W2,1,6.5,3.670609951019287,0.5647092232337365,3.54063081741333,6.481115818023682,7.53955078125,9.368471145629883,0.1015625,0.023110458484062783,0.265625,0.3125,0.2578125,6.210843086242676,5.2385101318359375,0.9723329544067383,True
DiagReachK3,187,0,25,sample_W2,2,12.5,6.833176612854004,0.5466541290283203,6.9237470626831055,11.56451416015625,13.082304000854492,15.626197814941406,0.0625,0.010199381709098817,0.265625,0.3125,0.2578125,6.210843086242676,5.2385101318359375,0.9723329544067383,True
DiagReachK3,187,0,25,sample_KL_mean,0,7.0,4.5319061279296875,0.6474151611328125,4.543910980224609,7.903810024261475,8.977689743041992,10.358603477478027,0.1953125,0.03951036610773631,0.2578125,0.3203125,0.265625,6.228506088256836,5.292675018310547,0.9358313679695129,True
DiagReachK3,187,0,25,sample_KL_mean,1,6.5,3.673635482788086,0.5651746896597055,3.5575578212738037,6.494901657104492,7.497533798217773,9.246158599853516,0.1015625,0.02243059128522873,0.2578125,0.3203125,0.265625,6.228506088256836,5.292675018310547,0.9358313679695129,True
DiagReachK3,187,0,25,sample_KL_mean,2,12.5,6.823337078094482,0.5458669662475586,6.892447471618652,11.511478424072266,13.01960563659668,15.534469604492188,0.0625,0.009722605347633364,0.2578125,0.3203125,0.265625,6.228506088256836,5.292675018310547,0.9358313679695129,True
DiagReachK3,187,0,25,sample_KL_std,0,7.0,4.4236955642700195,0.6319565091814313,4.377889633178711,7.825360298156738,8.986419677734375,10.673395156860352,0.1953125,0.03911087342670985,0.2734375,0.2890625,0.203125,6.153094291687012,4.995589733123779,1.1575040817260742,True
DiagReachK3,187,0,25,sample_KL_std,1,6.5,3.8925528526306152,0.5988542850200946,3.806976795196533,6.80161714553833,8.35806941986084,10.29330825805664,0.1171875,0.033768144937661976,0.2734375,0.2890625,0.203125,6.153094291687012,4.995589733123779,1.1575040817260742,True
DiagReachK3,187,0,25,sample_KL_std,2,12.5,6.899001121520996,0.5519200897216797,6.9025468826293945,12.292953491210938,13.599173545837402,16.538408279418945,0.09375,0.014622967839241026,0.2734375,0.2890625,0.203125,6.153094291687012,4.995589733123779,1.1575040817260742,True
DiagReachK3,187,0,25,sample_W2_mean,0,7.0,4.535703659057617,0.6479576655796596,4.541533470153809,7.934227466583252,9.00724983215332,10.398932456970215,0.203125,0.04035984884415354,0.265625,0.3125,0.2578125,6.22251033782959,5.274264335632324,0.9482457637786865,True
DiagReachK3,187,0,25,sample_W2_mean,1,6.5,3.677225351333618,0.5657269771282489,3.5631191730499268,6.500826358795166,7.503960609436035,9.265491485595703,0.1015625,0.02256395725103525,0.265625,0.3125,0.2578125,6.22251033782959,5.274264335632324,0.9482457637786865,True
DiagReachK3,187,0,25,sample_W2_mean,2,12.5,6.828380584716797,0.5462704467773437,6.924319267272949,11.554889678955078,13.07516098022461,15.55916690826416,0.0625,0.009933668971061705,0.265625,0.3125,0.2578125,6.22251033782959,5.274264335632324,0.9482457637786865,True
DiagReachK3,187,0,25,sample_W2_std,0,7.0,4.424731254577637,0.6321044649396624,4.379721641540527,7.826834201812744,8.975259780883789,10.675405502319336,0.1953125,0.03899139857717923,0.2734375,0.2890625,0.203125,6.154397010803223,4.996433258056641,1.1579638719558716,True
DiagReachK3,187,0,25,sample_W2_std,1,6.5,3.8884713649749756,0.598226363842304,3.8067803382873535,6.795251369476318,8.357332229614258,10.300806045532227,0.1171875,0.03381440272698035,0.2734375,0.2890625,0.203125,6.154397010803223,4.996433258056641,1.1579638719558716,True
DiagReachK3,187,0,25,sample_W2_std,2,12.5,6.8967437744140625,0.551739501953125,6.895587921142578,12.280498504638672,13.593450546264648,16.548662185668945,0.09375,0.014615014791488646,0.2734375,0.2890625,0.203125,6.154397010803223,4.996433258056641,1.1579638719558716,True
DiagReachK3,187,0,25,det_old,0,7.0,5.588782787322998,0.7983975410461426,5.592562675476074,5.812966346740723,5.890260219573975,6.006170272827148,0.0,0.0,0.0,1.0,1.0,8.624307632446289,8.624307632446289,0.0,False
