env,metric,seed,channel,Gtrain,GholdLR,GholdLR_lo,GholdLR_hi,Gsample,Gsample_lo,Gsample_hi,Gdet,Gdet_lo,Gdet_hi,T,T_lo,T_hi,L,L_lo,L_hi,K,K_lo,K_hi,mean_only,mean_only_lo,mean_only_hi,std_only,std_only_lo,std_only_hi,interaction,interaction_lo,interaction_hi,median_abs_T,signed_sum_T,absolute_sum_T,median_abs_L,signed_sum_L,absolute_sum_L,median_abs_K,signed_sum_K,absolute_sum_K,train_positive_GholdLR_nonpositive,train_positive_Gsample_nonpositive,train_positive_Gdet_nonpositive
DiagReachK2,W2,186,cost_0,0.013571276926478925,0.02952383576563099,-0.036511542392407406,0.09553960323113184,0.06641587764024734,0.05020229673013091,0.08224831217899918,0.11445165798068047,0.11301232062280178,0.11604571470990777,-0.015952558839152062,-0.08196832630465294,0.050082819318886286,-0.03689204187461635,-0.10651322287376037,0.02851344643932755,-0.04803578108549118,-0.06454892732203006,-0.03238413238897923,0.07856229841709136,0.06361281583085657,0.09352710243314505,-0.005256989412009716,-0.010515627905260772,-0.0003716251929290648,-0.006889406591653824,-0.008255680459551513,-0.005638986388221386,0.14361457715087994,-0.07976279419576031,1.1716810095280186,0.08210787854046836,-0.18446020937308177,0.43182308487694687,0.09666864573955536,-0.2401789054274559,0.5098779574036598,0,1,1
DiagReachK2,W2,186,cost_1,-0.33371507945606876,-0.26943480869228065,-0.3447513261473097,-0.19332183095444608,-0.2376458764076233,-0.25834481000900267,-0.21976771265268327,-0.5116169527173042,-0.5137609345465899,-0.5095622858405113,-0.0642802707637881,-0.14039324850162266,0.01103624669124102,-0.031788932284657345,-0.11217650581944488,0.04066905649569856,0.27397107481956484,0.2546037571132183,0.2914534004032612,-0.25161580443382264,-0.26973799169063567,-0.235105124861002,0.021967028640210627,0.01733071106718853,0.02697668314911425,-0.007997112348675728,-0.009458510922268033,-0.006472114003263414,0.18279529546238926,-0.3214013538189405,0.9725909282268562,0.020247175488004476,-0.15894466142328673,0.21446056237845373,0.2838740348815918,1.369855374097824,1.369855374097824,0,0,0
DiagReachK2,KL,187,shaped,2.7625431797285023,0.8804984683425333,0.5888580574287458,1.196920784354293,0.47272140979766847,0.37502080760896206,0.5599382683634757,-0.17941814959049224,-0.18322375319898127,-0.17522172402590513,1.8820447113859688,1.565622395374209,2.173685122299756,0.4077770585448649,0.14744834304735802,0.6840845180220674,0.6521395534276963,0.5554702858626843,0.7384204979240894,0.47782128751277925,0.38000445514917375,0.5677461922168732,-0.004861249215900898,-0.01623022871557623,0.0059740951517596825,-0.00023872926831245423,-0.0056013752985745666,0.006161292097531257,1.565609815246461,9.410223556929845,9.410223556929845,0.22461002369292177,2.0388852927243244,2.0388852927243244,0.6799042224884033,3.260697767138481,3.260697767138481,0,0,4
DiagReachK2,KL,187,raw,-0.19022214970115414,-0.16737512364508964,-0.20750869034725958,-0.12709898889884141,-0.16084743849933147,-0.1781007384508848,-0.1456532131973654,-0.1796329215168953,-0.18340797107666731,-0.1754905594140291,-0.0228470260560645,-0.06312316080231278,0.017286540646105412,-0.0065276851457581695,-0.04758074725789983,0.035905677097011826,0.01878548264503479,0.0027155464887619017,0.03430260088294745,-0.16174710355699062,-0.17723770735785363,-0.14723661441355942,0.000984516181051731,-0.004409120352938771,0.005555835124105211,-8.485536091029644e-05,-0.0013512606313452124,0.0010040764044970268,0.2765837700299006,-0.1142351302803225,1.147152930617454,0.02313526481123704,-0.032638425728790846,0.192928246316252,0.09870035201311111,0.09392741322517395,0.5377320647239685,1,1,1
DiagReachK2,KL,187,penalty,-2.952765419185285,-1.0478736007458511,-1.3843322765262167,-0.7573227379241921,-0.6335687875747681,-0.7147858792543411,-0.5421470778435469,-0.0002147722989320755,-0.0004954288946464658,-1.637730747461319e-05,-1.904891818439434,-2.195442681261093,-1.5684331426590685,-0.41430481317108325,-0.6844389455638575,-0.16042484653385194,-0.6333540201187133,-0.71461003780365,-0.5418964194506407,-0.6395684331655502,-0.7212050885707141,-0.5468843930587174,0.005845748819410801,-0.004960711298044772,0.01637469087960197,0.00015390533953905106,-0.00626320376759395,0.005414739553816615,1.6394800068111506,-9.52445909219717,9.52445909219717,0.24774535224705196,-2.0715240658554164,2.0715240658554164,0.6170052289962769,-3.166770100593567,3.166770100593567,0,0,0
DiagReachK2,KL,187,cost_0,-1.0854092204557195,-0.5804299323413185,-0.6835209247353504,-0.4708363076802789,-0.41031707301735876,-0.4380825961939991,-0.385254280064255,-0.7491101920604706,-0.753081571906805,-0.7455803620070219,-0.5049792881144011,-0.6145729127754409,-0.40188829572036905,-0.17011285932395964,-0.2665764394564697,-0.0600723125204128,0.3387931168079376,0.3116404294967651,0.3640076941251755,-0.41029643416404726,-0.43860080683603886,-0.3857573745353148,0.0010209193453192711,-0.003543665148317814,0.005362458176678043,-0.0010415222495794296,-0.00340609893668443,0.0011859958292916415,0.415797078268314,-2.5248964405720056,2.5248964405720056,0.14925797882031788,-0.8505642966197982,0.8505642966197982,0.3861444890499115,1.693965584039688,2.2473646104335785,0,0,0
DiagReachK2,KL,187,cost_1,-0.3545637926212697,-0.17582701546829332,-0.24318300458603836,-0.09521121563983682,-0.14545163363218308,-0.15919746067374946,-0.1310988767608069,-0.2907992541790009,-0.292577683776617,-0.2889932568371296,-0.1787367771529764,-0.2593525769814329,-0.11138078803523137,-0.030375381836110243,-0.10135084287017182,0.052070257571301945,0.14534762054681777,0.13119519785046577,0.1594931375980377,-0.14467908572405577,-0.15741763364057987,-0.13099918739637362,0.00011940859258174896,-0.00422786648850888,0.004341491523664439,-0.0008919354062527418,-0.0018438538466580212,0.0001011212868615984,0.2514784728608015,-0.893683885764882,1.396640831486485,0.03332238718107158,-0.15187690918055122,0.2841034067638931,0.22233185172080994,0.7267381027340889,0.8724342510104179,1,1,1
DiagReachK2,W2,187,shaped,2.656617833189071,0.8064282078420814,0.5416011695481276,1.1015295394837197,0.4306644916534424,0.3457653246074915,0.5061731681227684,-0.10247086137533187,-0.10621987346559762,-0.09834257073700428,1.8501896253469894,1.5550882937053507,2.1150166636409424,0.37576371618863896,0.13023186780035106,0.6303442556153618,0.5331353545188904,0.44904391933232546,0.6072096855938435,0.4309583127498627,0.34584935978055004,0.5097934649139643,0.0002372557297348976,-0.012215141458436846,0.011988497809506933,-0.0005310989916324615,-0.005839864714071155,0.005613460107706485,1.578292099363755,9.250948126734947,9.250948126734947,0.19749523034929672,1.8788185809431948,1.8788185809431948,0.5211920738220215,2.665676772594452,2.665676772594452,0,0,4
DiagReachK2,W2,187,raw,-0.14355043100139478,-0.11027236981803064,-0.15002304336869926,-0.07279833891462723,-0.10727730393409729,-0.12443388374522328,-0.09169828094542028,-0.10268563330173493,-0.10642933927476406,-0.09856606405228376,-0.03327806118336414,-0.07075209208676757,0.00647261236730446,-0.0029950658839333496,-0.04427827903911183,0.03572439677548169,-0.0045916706323623655,-0.020832742415368557,0.010993039049208137,-0.10711712539196014,-0.12302204383537173,-0.09266569854691624,0.0009027441963553428,-0.00430447599850595,0.005631897193379699,-0.0010629314463585615,-0.002236982915783301,5.1227998919784945e-05,0.2247146127983637,-0.1663903059168207,1.0578772726768237,0.023982495468976905,-0.014975329419666748,0.22127611071211464,0.062294796109199524,-0.02295835316181183,0.3411261886358261,1,1,1
DiagReachK2,W2,187,penalty,-2.8001683504591015,-0.9167005851800306,-1.22273761534196,-0.6513695709149472,-0.53794184923172,-0.6101126056909562,-0.45640586458146576,-0.0002147722989320755,-0.0004954288946464658,-1.637730747461319e-05,-1.8834677652790703,-2.1487987795441543,-1.5774307351171417,-0.3787587359483107,-0.6305864209296768,-0.1315345770069236,-0.5377270698547363,-0.6100176221132279,-0.4562908083945513,-0.5380754053592682,-0.6096045532450081,-0.45397485731169585,0.0006654679775238038,-0.011837762792129069,0.012048208457417785,-0.0005317922681570053,-0.006879146881401539,0.004519628158304839,1.6979686107278307,-9.417338826395351,9.417338826395351,0.21884680271942503,-1.8937936797415535,1.8937936797415535,0.5252503752708435,-2.6886353492736816,2.6886353492736816,0,0,0
