env,seed,metric,combo,inner_reward,outer_reward,job,cycle,steps,phase,episodes,raw_reward,shaped_reward,penalty,joint,any_event,cost_mean,event,excess
DiagReachK2,180,KL,RR,raw,raw,development_DiagReachK2_s180_KL_RR,10,5280,exploration,20,7.6652571827685465,4.942870181850158,2.7223870009183884,0.2,0.65,"[5.6059690654277805, 4.622321426868439]","[0.45, 0.3]","[0.09803857803344726, 0.06992012659708659]"
DiagReachK2,180,KL,RR,raw,raw,development_DiagReachK2_s180_KL_RR,10,5280,selection,12,9.093665990935309,8.607544912603043,0.4861210783322652,0.6666666666666666,0.3333333333333333,"[5.258262117703755, 5.609720508257548]","[0.0, 0.3333333333333333]","[0.0, 0.040818823708428285]"
DiagReachK2,180,KL,RR,raw,raw,development_DiagReachK2_s180_KL_RR,10,5280,acceptance,8,9.324974929602469,9.324974929602469,0.0,1.0,0.0,"[5.788495779037476, 5.558069229125977]","[0.0, 0.0]","[0.0, 0.0]"
DiagReachK2,180,KL,RR,raw,raw,development_DiagReachK2_s180_KL_RR,11,5760,exploration,20,7.253361952005069,5.542137440739316,1.7112245112657547,0.3,0.45,"[5.1072348892688755, 4.149816161394119]","[0.3, 0.2]","[0.09766862789789835, 0.03426058689753214]"
DiagReachK2,180,KL,RR,raw,raw,development_DiagReachK2_s180_KL_RR,11,5760,selection,12,9.24123150678012,9.216266647691858,0.02496485908826192,0.8333333333333334,0.16666666666666666,"[5.466029167175293, 5.6377854347229]","[0.16666666666666666, 0.0]","[0.0049929751290215445, 0.0]"
DiagReachK2,180,KL,RR,raw,raw,development_DiagReachK2_s180_KL_RR,11,5760,acceptance,8,9.300699973123846,9.300699973123846,0.0,1.0,0.0,"[5.759680986404419, 5.481090784072876]","[0.0, 0.0]","[0.0, 0.0]"
DiagReachK2,180,KL,RR,raw,raw,development_DiagReachK2_s180_KL_RR,12,6240,exploration,20,7.0768462044931955,6.497318811509759,0.5795273929834366,0.3,0.55,"[4.671038639545441, 3.9820395037531853]","[0.35, 0.25]","[0.03566497564315796, 0.027540290355682374]"
DiagReachK2,180,KL,RR,raw,raw,development_DiagReachK2_s180_KL_RR,12,6240,selection,12,9.556959947390714,8.659842839284101,0.8971171081066132,0.25,0.75,"[6.515898108482361, 5.930723865826924]","[0.75, 0.5833333333333334]","[0.09387148751152885, 0.013986872302161316]"
DiagReachK2,180,KL,RR,raw,raw,development_DiagReachK2_s180_KL_RR,12,6240,acceptance,8,9.321160732221323,9.301628290128427,0.019532442092895508,0.5,0.5,"[5.907289743423462, 5.599721193313599]","[0.5, 0.0]","[0.003906508286794064, 0.0]"
DiagReachK2,180,KL,RR,raw,raw,development_DiagReachK2_s180_KL_RR,13,6720,exploration,20,7.715363638440321,5.634968491235922,2.080395147204399,0.1,0.65,"[5.228935241699219, 5.40687580704689]","[0.3, 0.5]","[0.08012445370356241, 0.05836809873580932]"
DiagReachK2,180,KL,RR,raw,raw,development_DiagReachK2_s180_KL_RR,13,6720,selection,12,9.232594050042584,9.086144345077628,0.14644970496495566,0.6666666666666666,0.3333333333333333,"[5.757553815841675, 5.321872552235921]","[0.3333333333333333, 0.0]","[0.023503197564019102, 0.0]"
