job,env,seed,metric,scale,reward,success,joint,cost,event,excess,any_event,steps,eval_episodes,effective_updates,selected_joint,installed_joint,selected_old,distance_active,paired_candidate_different,worker_seconds,exit_code,command
development_DiagReachK3_s180_KL_s2,DiagReachK3,180,KL,2.0,9.36582692981532,1.0,0.9839743589743589,"[6.742967837896103, 6.274668077627818, 11.866244334440966]","[0.0, 0.016025641025641024, 0.0]","[0.0, 6.997256119105521e-05, 0.0]",0.016025641025641024,12000,312,6,3,3,19,25,25,56.89674496650696,0,"[""/opt/conda/bin/python3"", ""-u"", ""/home/dataset-local/liyufeng/SafeTransport/diagnostic_runs/joint_metric_solver/v1/worker.py"", ""/home/dataset-local/liyufeng/SafeTransport/diagnostic_runs/joint_metric_solver/v1/jobs/development_DiagReachK3_s180_KL_s2/job.json""]"
development_DiagReachK3_s180_W2_s0.5,DiagReachK3,180,W2,0.5,9.40887848668096,1.0,1.0,"[6.328102672711397, 5.669403085341821, 10.997290250582573]","[0.0, 0.0, 0.0]","[0.0, 0.0, 0.0]",0.0,12000,312,9,7,5,14,25,25,59.91535401344299,0,"[""/opt/conda/bin/python3"", ""-u"", ""/home/dataset-local/liyufeng/SafeTransport/diagnostic_runs/joint_metric_solver/v1/worker.py"", ""/home/dataset-local/liyufeng/SafeTransport/diagnostic_runs/joint_metric_solver/v1/jobs/development_DiagReachK3_s180_W2_s0.5/job.json""]"
development_DiagReachK3_s180_W2_s1,DiagReachK3,180,W2,1.0,9.520693210749078,1.0,1.0,"[6.34408733019462, 6.093345953867986, 11.364460890109722]","[0.0, 0.0, 0.0]","[0.0, 0.0, 0.0]",0.0,12000,312,10,7,5,13,25,25,77.603520154953,0,"[""/opt/conda/bin/python3"", ""-u"", ""/home/dataset-local/liyufeng/SafeTransport/diagnostic_runs/joint_metric_solver/v1/worker.py"", ""/home/dataset-local/liyufeng/SafeTransport/diagnostic_runs/joint_metric_solver/v1/jobs/development_DiagReachK3_s180_W2_s1/job.json""]"
development_DiagReachK3_s180_W2_s2,DiagReachK3,180,W2,2.0,9.604116270149003,1.0,0.9935897435897436,"[6.482469202616276, 6.239396995458847, 11.653623440326788]","[0.0, 0.00641025641025641, 0.0]","[0.0, 2.596387731488164e-05, 0.0]",0.00641025641025641,12000,312,9,5,5,16,25,25,66.63553762435913,0,"[""/opt/conda/bin/python3"", ""-u"", ""/home/dataset-local/liyufeng/SafeTransport/diagnostic_runs/joint_metric_solver/v1/worker.py"", ""/home/dataset-local/liyufeng/SafeTransport/diagnostic_runs/joint_metric_solver/v1/jobs/development_DiagReachK3_s180_W2_s2/job.json""]"
development_DiagReachK3_s186_KL_s0.5,DiagReachK3,186,KL,0.5,9.482358321716198,1.0,0.9358974358974359,"[6.820970302973038, 5.085051690920805, 10.862432877222696]","[0.0641025641025641, 0.0, 0.0]","[0.00041134606350909305, 0.0, 0.0]",0.0641025641025641,12000,312,5,4,2,17,25,25,50.17126679420471,0,"[""/opt/conda/bin/python3"", ""-u"", ""/home/dataset-local/liyufeng/SafeTransport/diagnostic_runs/joint_metric_solver/v1/worker.py"", ""/home/dataset-local/liyufeng/SafeTransport/diagnostic_runs/joint_metric_solver/v1/jobs/development_DiagReachK3_s186_KL_s0.5/job.json""]"
development_DiagReachK3_s186_KL_s1,DiagReachK3,186,KL,1.0,9.442499533895505,1.0,1.0,"[6.707820803691179, 6.19023214548062, 11.807284220671042]","[0.0, 0.0, 0.0]","[0.0, 0.0, 0.0]",0.0,12000,312,6,1,1,19,25,25,75.80153775215149,0,"[""/opt/conda/bin/python3"", ""-u"", ""/home/dataset-local/liyufeng/SafeTransport/diagnostic_runs/joint_metric_solver/v1/worker.py"", ""/home/dataset-local/liyufeng/SafeTransport/diagnostic_runs/joint_metric_solver/v1/jobs/development_DiagReachK3_s186_KL_s1/job.json""]"
development_DiagReachK3_s186_KL_s2,DiagReachK3,186,KL,2.0,9.448653119550837,1.0,0.9775641025641025,"[6.753028475321257, 5.390139205333514, 11.10691610055092]","[0.022435897435897436, 0.0, 0.0]","[0.00012878838912907942, 0.0, 0.0]",0.022435897435897436,12000,312,4,4,2,19,25,25,62.02824854850769,0,"[""/opt/conda/bin/python3"", ""-u"", ""/home/dataset-local/liyufeng/SafeTransport/diagnostic_runs/joint_metric_solver/v1/worker.py"", ""/home/dataset-local/liyufeng/SafeTransport/diagnostic_runs/joint_metric_solver/v1/jobs/development_DiagReachK3_s186_KL_s2/job.json""]"
development_DiagReachK3_s186_W2_s0.5,DiagReachK3,186,W2,0.5,9.546972730698942,1.0,0.782051282051282,"[6.830523555095379, 6.41670909906045, 12.167318411362476]","[0.04487179487179487, 0.1891025641025641, 0.009615384615384616]","[0.00023337030585432247, 0.0010993586489434777, 3.702506040915453e-05]",0.21794871794871795,12000,312,7,5,2,15,24,24,82.82518887519836,0,"[""/opt/conda/bin/python3"", ""-u"", ""/home/dataset-local/liyufeng/SafeTransport/diagnostic_runs/joint_metric_solver/v1/worker.py"", ""/home/dataset-local/liyufeng/SafeTransport/diagnostic_runs/joint_metric_solver/v1/jobs/development_DiagReachK3_s186_W2_s0.5/job.json""]"
development_DiagReachK3_s186_W2_s1,DiagReachK3,186,W2,1.0,9.33413079623133,1.0,1.0,"[6.338576837992057, 5.403796257116856, 10.720405835371752]","[0.0, 0.0, 0.0]","[0.0, 0.0, 0.0]",0.0,12000,312,8,6,3,14,25,25,57.08081603050232,0,"[""/opt/conda/bin/python3"", ""-u"", ""/home/dataset-local/liyufeng/SafeTransport/diagnostic_runs/joint_metric_solver/v1/worker.py"", ""/home/dataset-local/liyufeng/SafeTransport/diagnostic_runs/joint_metric_solver/v1/jobs/development_DiagReachK3_s186_W2_s1/job.json""]"
development_DiagReachK3_s186_W2_s2,DiagReachK3,186,W2,2.0,9.6831698143719,1.0,0.9423076923076923,"[6.849320526306446, 5.926728471731528, 11.71952838775439]","[0.057692307692307696, 0.0, 0.0]","[0.00034582920563526785, 0.0, 0.0]",0.057692307692307696,12000,312,5,4,2,15,25,25,65.88952779769897,0,"[""/opt/conda/bin/python3"", ""-u"", ""/home/dataset-local/liyufeng/SafeTransport/diagnostic_runs/joint_metric_solver/v1/worker.py"", ""/home/dataset-local/liyufeng/SafeTransport/diagnostic_runs/joint_metric_solver/v1/jobs/development_DiagReachK3_s186_W2_s2/job.json""]"
development_DiagReachK3_s187_KL_s0.5,DiagReachK3,187,KL,0.5,9.262070357441031,1.0,1.0,"[5.447731438355568, 6.179191561845633, 10.515509366989136]","[0.0, 0.0, 0.0]","[0.0, 0.0, 0.0]",0.0,12000,312,4,5,3,19,25,25,58.408429861068726,0,"[""/opt/conda/bin/python3"", ""-u"", ""/home/dataset-local/liyufeng/SafeTransport/diagnostic_runs/joint_metric_solver/v1/worker.py"", ""/home/dataset-local/liyufeng/SafeTransport/diagnostic_runs/joint_metric_solver/v1/jobs/development_DiagReachK3_s187_KL_s0.5/job.json""]"
development_DiagReachK3_s187_KL_s1,DiagReachK3,187,KL,1.0,9.427121689426077,1.0,1.0,"[5.8440884076631985, 6.034523534469115, 10.732657961356335]","[0.0, 0.0, 0.0]","[0.0, 0.0, 0.0]",0.0,12000,312,5,5,1,16,25,25,53.56228685379028,0,"[""/opt/conda/bin/python3"", ""-u"", ""/home/dataset-local/liyufeng/SafeTransport/diagnostic_runs/joint_metric_solver/v1/worker.py"", ""/home/dataset-local/liyufeng/SafeTransport/diagnostic_runs/joint_metric_solver/v1/jobs/development_DiagReachK3_s187_KL_s1/job.json""]"
development_DiagReachK3_s187_KL_s2,DiagReachK3,187,KL,2.0,9.512171999276438,1.0,1.0,"[6.563808312782874, 6.107511783257509, 11.58105307053297]","[0.0, 0.0, 0.0]","[0.0, 0.0, 0.0]",0.0,12000,312,4,2,2,19,25,25,63.7933349609375,0,"[""/opt/conda/bin/python3"", ""-u"", ""/home/dataset-local/liyufeng/SafeTransport/diagnostic_runs/joint_metric_solver/v1/worker.py"", ""/home/dataset-local/liyufeng/SafeTransport/diagnostic_runs/joint_metric_solver/v1/jobs/development_DiagReachK3_s187_KL_s2/job.json""]"
development_DiagReachK3_s187_W2_s0.5,DiagReachK3,187,W2,0.5,9.666529493209124,1.0,0.9967948717948718,"[6.73056996632845, 6.085756226991996, 11.750351123320751]","[0.003205128205128205, 0.0, 0.0]","[6.969813462142208e-06, 0.0, 0.0]",0.003205128205128205,12000,312,8,8,7,16,24,25,85.34796237945557,0,"[""/opt/conda/bin/python3"", ""-u"", ""/home/dataset-local/liyufeng/SafeTransport/diagnostic_runs/joint_metric_solver/v1/worker.py"", ""/home/dataset-local/liyufeng/SafeTransport/diagnostic_runs/joint_metric_solver/v1/jobs/development_DiagReachK3_s187_W2_s0.5/job.json""]"
development_DiagReachK3_s187_W2_s1,DiagReachK3,187,W2,1.0,9.29697274973531,1.0,1.0,"[5.371132567906991, 5.93892966172634, 10.296573421893976]","[0.0, 0.0, 0.0]","[0.0, 0.0, 0.0]",0.0,12000,312,4,4,3,19,25,25,58.40607929229736,0,"[""/opt/conda/bin/python3"", ""-u"", ""/home/dataset-local/liyufeng/SafeTransport/diagnostic_runs/joint_metric_solver/v1/worker.py"", ""/home/dataset-local/liyufeng/SafeTransport/diagnostic_runs/joint_metric_solver/v1/jobs/development_DiagReachK3_s187_W2_s1/job.json""]"
development_DiagReachK3_s187_W2_s2,DiagReachK3,187,W2,2.0,9.485890208036363,1.0,1.0,"[6.590431247002039, 5.9123576650252705, 11.400145613230192]","[0.0, 0.0, 0.0]","[0.0, 0.0, 0.0]",0.0,12000,312,5,3,3,20,25,25,52.82287001609802,0,"[""/opt/conda/bin/python3"", ""-u"", ""/home/dataset-local/liyufeng/SafeTransport/diagnostic_runs/joint_metric_solver/v1/worker.py"", ""/home/dataset-local/liyufeng/SafeTransport/diagnostic_runs/joint_metric_solver/v1/jobs/development_DiagReachK3_s187_W2_s2/job.json""]"
