env,seed,metric,combo,inner_reward,outer_reward,job,reward,success,joint,any_event,cost_mean,event,excess,counterfactual_shaped_reward,penalty,gradient_steps,selection_steps,acceptance_steps,actual_steps,PPO_optimizer_steps,installs,middle_selected,middle_installed,selection_reward_flips,acceptance_reward_flips,wall_seconds_training_finaleval
DiagReachK3,186,KL,SR,shaped,raw,development_DiagReachK3_s186_KL_SR,9.442499533895505,1.0,1.0,0.0,"[6.707820803691179, 6.19023214548062, 11.807284220671042]","[0.0, 0.0, 0.0]","[0.0, 0.0, 0.0]",9.442499533895505,0.0,6000,3600,2400,12000,384,6,1,1,0,0,43.09657049179077
DiagReachK3,186,KL,SS,shaped,shaped,development_DiagReachK3_s186_KL_SS,9.442499533895505,1.0,1.0,0.0,"[6.707820803691179, 6.19023214548062, 11.807284220671042]","[0.0, 0.0, 0.0]","[0.0, 0.0, 0.0]",9.442499533895505,0.0,6000,3600,2400,12000,384,6,1,1,0,0,42.75059366226196
DiagReachK3,186,W2,RR,raw,raw,development_DiagReachK3_s186_W2_RR,9.610503257593646,1.0,1.0,0.0,"[6.600885394292, 6.137951889099219, 11.627254107059576]","[0.0, 0.0, 0.0]","[0.0, 0.0, 0.0]",9.610503257593646,0.0,6000,3600,2400,12000,348,6,2,2,0,0,45.2400381565094
DiagReachK3,186,W2,RS,raw,shaped,development_DiagReachK3_s186_W2_RS,9.610503257593646,1.0,1.0,0.0,"[6.600885394292, 6.137951889099219, 11.627254107059576]","[0.0, 0.0, 0.0]","[0.0, 0.0, 0.0]",9.610503257593646,0.0,6000,3600,2400,12000,348,6,2,2,0,0,43.524789810180664
DiagReachK3,186,W2,SR,shaped,raw,development_DiagReachK3_s186_W2_SR,9.33413079623133,1.0,1.0,0.0,"[6.338576837992057, 5.403796257116856, 10.720405835371752]","[0.0, 0.0, 0.0]","[0.0, 0.0, 0.0]",9.33413079623133,0.0,6000,3600,2400,12000,348,8,6,3,0,0,42.74347424507141
DiagReachK3,186,W2,SS,shaped,shaped,development_DiagReachK3_s186_W2_SS,9.33413079623133,1.0,1.0,0.0,"[6.338576837992057, 5.403796257116856, 10.720405835371752]","[0.0, 0.0, 0.0]","[0.0, 0.0, 0.0]",9.33413079623133,0.0,6000,3600,2400,12000,348,8,6,3,0,0,43.71750283241272
DiagReachK3,187,KL,RR,raw,raw,development_DiagReachK3_s187_KL_RR,9.464925675246363,1.0,0.9871794871794872,0.01282051282051282,"[6.642750241817573, 6.180363279122573, 11.754791183349413]","[0.01282051282051282, 0.0, 0.0]","[7.813120936299398e-05, 0.0, 0.0]",9.464535018380802,0.00039065686556009145,6000,3600,2400,12000,356,3,1,1,0,0,43.7635931968689
DiagReachK3,187,KL,RS,raw,shaped,development_DiagReachK3_s187_KL_RS,9.464925675246363,1.0,0.9871794871794872,0.01282051282051282,"[6.642750241817573, 6.180363279122573, 11.754791183349413]","[0.01282051282051282, 0.0, 0.0]","[7.813120936299398e-05, 0.0, 0.0]",9.464535018380802,0.00039065686556009145,6000,3600,2400,12000,356,3,1,1,0,0,43.501840591430664
DiagReachK3,187,KL,SR,shaped,raw,development_DiagReachK3_s187_KL_SR,9.427121689426077,1.0,1.0,0.0,"[5.8440884076631985, 6.034523534469115, 10.732657961356335]","[0.0, 0.0, 0.0]","[0.0, 0.0, 0.0]",9.427121689426077,0.0,6000,3600,2400,12000,388,5,5,1,0,0,47.268818616867065
DiagReachK3,187,KL,SS,shaped,shaped,development_DiagReachK3_s187_KL_SS,9.427121689426077,1.0,1.0,0.0,"[5.8440884076631985, 6.034523534469115, 10.732657961356335]","[0.0, 0.0, 0.0]","[0.0, 0.0, 0.0]",9.427121689426077,0.0,6000,3600,2400,12000,388,5,5,1,0,0,44.68392086029053
DiagReachK3,187,W2,RR,raw,raw,development_DiagReachK3_s187_W2_RR,9.201176203817475,1.0,1.0,0.0,"[6.239341075603779, 5.292645384103824, 10.40643898034707]","[0.0, 0.0, 0.0]","[0.0, 0.0, 0.0]",9.201176203817475,0.0,6000,3600,2400,12000,368,7,7,4,0,0,43.11934804916382
DiagReachK3,187,W2,RS,raw,shaped,development_DiagReachK3_s187_W2_RS,9.201176203817475,1.0,1.0,0.0,"[6.239341075603779, 5.292645384103824, 10.40643898034707]","[0.0, 0.0, 0.0]","[0.0, 0.0, 0.0]",9.201176203817475,0.0,6000,3600,2400,12000,368,7,7,4,0,0,44.35375094413757
DiagReachK3,187,W2,SR,shaped,raw,development_DiagReachK3_s187_W2_SR,9.29697274973531,1.0,1.0,0.0,"[5.371132567906991, 5.93892966172634, 10.296573421893976]","[0.0, 0.0, 0.0]","[0.0, 0.0, 0.0]",9.29697274973531,0.0,6000,3600,2400,12000,332,4,4,3,0,0,46.34978652000427
DiagReachK3,187,W2,SS,shaped,shaped,development_DiagReachK3_s187_W2_SS,9.29697274973531,1.0,1.0,0.0,"[5.371132567906991, 5.93892966172634, 10.296573421893976]","[0.0, 0.0, 0.0]","[0.0, 0.0, 0.0]",9.29697274973531,0.0,6000,3600,2400,12000,332,4,4,3,0,0,43.142489194869995
