env,seed,cycle,anchor,candidate,Gtrain,Gsample,Gdet,Gsample_raw,Gdet_raw,Gsample_penalty,Gdet_penalty,optimism_sample,optimism_sample_lo,optimism_sample_hi,Ghold_common_timeLOO,hold_contribution_std,sample_contribution_std
DiagReachK2,186,6,6,cfKL,0.7869829042096501,0.22434372732805075,0.029914365775039087,-0.02803021763993438,0.029914365775039087,-0.25237394496798515,0.0,0.5626391768815994,0.3851441647835065,0.7064802344819019,0.5102988738234508,2.7194017189070103,0.6204072958055643
DiagReachK2,186,6,6,cfW2,0.8402453264509351,0.2308767436652488,0.0011329402375848674,-0.06930123468646333,0.0011329402375848674,-0.3001779783517122,0.0,0.6093685827856863,0.40201309987973133,0.7718387444259535,0.5666663092297571,3.1050427394192863,0.7232321229977164
DiagReachK2,186,18,8,timeKL,2.357189753297511,0.1823888649116271,-0.09678428629886154,-0.07266076050000253,-0.09991649175535683,-0.2550496254116297,-0.003132205456495285,2.174800888385884,1.9799255927867754,2.3667429626898033,0.41790097294403994,1.2969791786551472,0.8104119830405749
DiagReachK2,186,18,8,timeW2,2.929253128711262,0.1649321794699974,-0.1492673804797957,-0.12230727428532163,-0.152399585936291,-0.2872394537553191,-0.003132205456495285,2.764320949241265,2.5359790696767464,2.997109517763222,0.5243075563821333,1.759421786249942,0.9759905415062339
DiagReachK2,186,18,8,cfKL,1.7651648261570418,0.21103535286010822,-0.13006625320340393,-0.14327073031245147,-0.1331984586598992,-0.35430608317255974,-0.003132205456495285,1.5541294732969335,1.3400622262035076,1.7765934070762306,0.5497446768528167,2.0362055887276047,0.8908686277058634
DiagReachK2,186,18,8,cfW2,2.307725271088954,0.20030156970783547,-0.15223629018400966,-0.20618489216253677,-0.15536849564050495,-0.4064864618703723,-0.003132205456495285,2.1074237013811183,1.8402715434693095,2.3866796136864665,0.7209359591537083,2.728024774337513,1.1364846551773253
DiagReachK2,187,6,11,timeKL,2.7802451594990005,0.7524284635015649,-0.2254778651185915,-0.11529392718366584,-0.2292663735934183,-0.8677223906852305,-0.0037885084748268127,2.0278166959974357,1.6803820850912876,2.3525706429523696,1.1397787874172713,5.015927647023497,1.415708395695916
DiagReachK2,187,6,11,timeW2,2.683081138271058,0.7095098766367302,-0.1324146014667351,-0.014263799799664238,-0.1362031099415619,-0.7237736764363945,-0.0037885084748268127,1.9735712616343282,1.6608026297468441,2.249948966667956,0.9909650981851517,4.846731658619808,1.2149240268572585
DiagReachK2,187,6,11,cfKL,2.139044017533279,0.782245426200825,-0.3384870057947412,-0.2500759756709157,-0.34227551426956804,-1.0323214018717408,-0.0037885084748268127,1.3567985913324538,0.9482231726662309,1.7468782230530182,1.2402468882218423,5.034346085678573,1.6845652993403493
DiagReachK2,187,6,11,cfW2,2.025779451321943,0.703865414841857,-0.20277987774024944,-0.10061559091991497,-0.20656838621507626,-0.8044810057617724,-0.0037885084748268127,1.3219140364800857,0.9931304709566405,1.6220683970094627,1.0571851873474643,4.771807405413287,1.3075591683045724
DiagReachK2,187,18,13,timeKL,2.6701177218039,0.2774722098030906,0.13484385885389572,0.007546177751646649,0.13484385885389572,-0.26992603205144405,0.0,2.392645512000809,2.2514646354038823,2.513942034003231,0.5959336274007375,2.02509973256069,0.601861604571744
