job,env,metric,combo,seed,cycle,channel,episodes,events,zero_event,all_event,firsthit_adv_zero,continuous_adv_zero,firsthit_adv_std,continuous_adv_std
development_DiagReachK2_s180_W2_RS,DiagReachK2,W2,RS,180,4,1,20,3,False,False,False,False,0.371229887008667,1.4755504131317139
development_DiagReachK2_s180_W2_RS,DiagReachK2,W2,RS,180,5,0,20,4,False,False,False,False,0.4133059084415436,1.208390712738037
development_DiagReachK2_s180_W2_RS,DiagReachK2,W2,RS,180,5,1,20,7,False,False,False,False,0.4854769706726074,1.4716695547103882
development_DiagReachK2_s180_W2_RS,DiagReachK2,W2,RS,180,6,0,20,6,False,False,False,False,0.4775668680667877,1.692145824432373
development_DiagReachK2_s180_W2_RS,DiagReachK2,W2,RS,180,6,1,20,8,False,False,False,False,0.5045956969261169,1.2466720342636108
development_DiagReachK2_s180_W2_RS,DiagReachK2,W2,RS,180,7,0,20,4,False,False,False,False,0.40169310569763184,1.7077252864837646
development_DiagReachK2_s180_W2_RS,DiagReachK2,W2,RS,180,7,1,20,5,False,False,False,False,0.428120493888855,1.6739873886108398
development_DiagReachK2_s180_W2_RS,DiagReachK2,W2,RS,180,8,0,20,6,False,False,False,False,0.4685392677783966,1.4257018566131592
development_DiagReachK2_s180_W2_RS,DiagReachK2,W2,RS,180,8,1,20,7,False,False,False,False,0.4890301823616028,1.446627140045166
development_DiagReachK2_s180_W2_RS,DiagReachK2,W2,RS,180,9,0,20,9,False,False,False,False,0.5183609127998352,0.9904831051826477
development_DiagReachK2_s180_W2_RS,DiagReachK2,W2,RS,180,9,1,20,9,False,False,False,False,0.5152341723442078,1.3912585973739624
development_DiagReachK2_s180_W2_RS,DiagReachK2,W2,RS,180,10,0,20,9,False,False,False,False,0.5125389695167542,1.495652437210083
development_DiagReachK2_s180_W2_RS,DiagReachK2,W2,RS,180,10,1,20,6,False,False,False,False,0.453263521194458,1.6518560647964478
development_DiagReachK2_s180_W2_RS,DiagReachK2,W2,RS,180,11,0,20,6,False,False,False,False,0.4603383243083954,1.8556956052780151
development_DiagReachK2_s180_W2_RS,DiagReachK2,W2,RS,180,11,1,20,4,False,False,False,False,0.4096594452857971,1.5506004095077515
development_DiagReachK2_s180_W2_RS,DiagReachK2,W2,RS,180,12,0,20,9,False,False,False,False,0.5016132593154907,1.7992223501205444
development_DiagReachK2_s180_W2_RS,DiagReachK2,W2,RS,180,12,1,20,3,False,False,False,False,0.371229887008667,1.2178492546081543
development_DiagReachK2_s180_W2_RS,DiagReachK2,W2,RS,180,13,0,20,3,False,False,False,False,0.3758646547794342,1.7019826173782349
development_DiagReachK2_s180_W2_RS,DiagReachK2,W2,RS,180,13,1,20,8,False,False,False,False,0.5011528134346008,1.4905142784118652
development_DiagReachK2_s180_W2_RS,DiagReachK2,W2,RS,180,14,0,20,3,False,False,False,False,0.371229887008667,1.3692734241485596
development_DiagReachK2_s180_W2_RS,DiagReachK2,W2,RS,180,14,1,20,8,False,False,False,False,0.4934941232204437,1.755417823791504
development_DiagReachK2_s180_W2_RS,DiagReachK2,W2,RS,180,15,0,20,6,False,False,False,False,0.4700149893760681,1.6584018468856812
development_DiagReachK2_s180_W2_RS,DiagReachK2,W2,RS,180,15,1,20,2,False,False,False,False,0.3095136880874634,0.9911255240440369
development_DiagReachK2_s180_W2_RS,DiagReachK2,W2,RS,180,16,0,20,6,False,False,False,False,0.474414587020874,1.4185888767242432
development_DiagReachK2_s180_W2_RS,DiagReachK2,W2,RS,180,16,1,20,6,False,False,False,False,0.4775668978691101,1.787748098373413
development_DiagReachK2_s180_W2_RS,DiagReachK2,W2,RS,180,17,0,20,5,False,False,False,False,0.4468521177768707,1.5477538108825684
development_DiagReachK2_s180_W2_RS,DiagReachK2,W2,RS,180,17,1,20,4,False,False,False,False,0.3900304138660431,1.647605061531067
development_DiagReachK2_s180_W2_RS,DiagReachK2,W2,RS,180,18,0,20,4,False,False,False,False,0.4096594452857971,1.854143500328064
development_DiagReachK2_s180_W2_RS,DiagReachK2,W2,RS,180,18,1,20,6,False,False,False,False,0.47538676857948303,1.5174299478530884
development_DiagReachK2_s180_W2_RS,DiagReachK2,W2,RS,180,19,0,20,11,False,False,False,False,0.5185835361480713,1.5360110998153687
development_DiagReachK2_s180_W2_RS,DiagReachK2,W2,RS,180,19,1,20,2,False,False,False,False,0.31578949093818665,0.99135822057724
development_DiagReachK2_s180_W2_RS,DiagReachK2,W2,RS,180,20,0,20,8,False,False,False,False,0.5073330998420715,1.3077445030212402
development_DiagReachK2_s180_W2_RS,DiagReachK2,W2,RS,180,20,1,20,4,False,False,False,False,0.41747382283210754,1.2729721069335938
development_DiagReachK2_s180_W2_RS,DiagReachK2,W2,RS,180,21,0,20,8,False,False,False,False,0.5043668746948242,1.0906751155853271
development_DiagReachK2_s180_W2_RS,DiagReachK2,W2,RS,180,21,1,20,5,False,False,False,False,0.44348153471946716,1.3061407804489136
development_DiagReachK2_s180_W2_RS,DiagReachK2,W2,RS,180,22,0,20,2,False,False,False,False,0.30310797691345215,1.4480613470077515
development_DiagReachK2_s180_W2_RS,DiagReachK2,W2,RS,180,22,1,20,9,False,False,False,False,0.5107342004776001,1.8359519243240356
development_DiagReachK2_s180_W2_RS,DiagReachK2,W2,RS,180,23,0,20,10,False,False,False,False,0.5174695253372192,1.4871563911437988
development_DiagReachK2_s180_W2_RS,DiagReachK2,W2,RS,180,23,1,20,2,False,False,False,False,0.31578946113586426,1.1231164932250977
development_DiagReachK2_s180_W2_RS,DiagReachK2,W2,RS,180,24,0,20,5,False,False,False,False,0.44348159432411194,1.1866285800933838
development_DiagReachK2_s180_W2_RS,DiagReachK2,W2,RS,180,24,1,20,8,False,False,False,False,0.5006920099258423,1.5209376811981201
development_DiagReachK2_s180_W2_SS,DiagReachK2,W2,SS,180,0,0,20,1,False,False,False,False,0.22941575944423676,1.4737643003463745
development_DiagReachK2_s180_W2_SS,DiagReachK2,W2,SS,180,0,1,20,1,False,False,False,False,0.21964886784553528,1.624749779701233
development_DiagReachK2_s180_W2_SS,DiagReachK2,W2,SS,180,1,0,20,1,False,False,False,False,0.22941577434539795,1.6552553176879883
development_DiagReachK2_s180_W2_SS,DiagReachK2,W2,SS,180,1,1,20,2,False,False,False,False,0.2882750630378723,1.990466594696045
development_DiagReachK2_s180_W2_SS,DiagReachK2,W2,SS,180,2,0,20,6,False,False,False,False,0.47538676857948303,1.705540657043457
development_DiagReachK2_s180_W2_SS,DiagReachK2,W2,SS,180,2,1,20,4,False,False,False,False,0.38616418838500977,1.8763158321380615
development_DiagReachK2_s180_W2_SS,DiagReachK2,W2,SS,180,3,0,20,3,False,False,False,False,0.35501939058303833,1.3652914762496948
development_DiagReachK2_s180_W2_SS,DiagReachK2,W2,SS,180,3,1,20,3,False,False,False,False,0.3393954634666443,2.04099178314209
development_DiagReachK2_s180_W2_SS,DiagReachK2,W2,SS,180,4,0,20,2,False,False,False,False,0.28907468914985657,1.4675079584121704
development_DiagReachK2_s180_W2_SS,DiagReachK2,W2,SS,180,4,1,20,1,False,False,False,False,0.21964886784553528,1.505807876586914
development_DiagReachK2_s180_W2_SS,DiagReachK2,W2,SS,180,5,0,20,4,False,False,False,False,0.40853095054626465,1.7125957012176514
development_DiagReachK2_s180_W2_SS,DiagReachK2,W2,SS,180,5,1,20,7,False,False,False,False,0.48141834139823914,2.018080472946167
development_DiagReachK2_s180_W2_SS,DiagReachK2,W2,SS,180,6,0,20,7,False,False,False,False,0.4873752295970917,1.741288423538208
development_DiagReachK2_s180_W2_SS,DiagReachK2,W2,SS,180,6,1,20,5,False,False,False,False,0.4371907413005829,1.5166513919830322
development_DiagReachK2_s180_W2_SS,DiagReachK2,W2,SS,180,7,0,20,4,False,False,False,False,0.4138640761375427,1.74924898147583
development_DiagReachK2_s180_W2_SS,DiagReachK2,W2,SS,180,7,1,20,7,False,False,False,False,0.49114975333213806,1.818891167640686
development_DiagReachK2_s180_W2_SS,DiagReachK2,W2,SS,180,8,0,20,5,False,False,False,False,0.4458177387714386,1.755983591079712
development_DiagReachK2_s180_W2_SS,DiagReachK2,W2,SS,180,8,1,20,5,False,False,False,False,0.4468521177768707,1.5895103216171265
development_DiagReachK2_s180_W2_SS,DiagReachK2,W2,SS,180,9,0,20,8,False,False,False,False,0.5145617127418518,1.1860356330871582
development_DiagReachK2_s180_W2_SS,DiagReachK2,W2,SS,180,9,1,20,7,False,False,False,False,0.49114975333213806,1.5358620882034302
development_DiagReachK2_s180_W2_SS,DiagReachK2,W2,SS,180,10,0,20,6,False,False,False,False,0.46582165360450745,2.0277249813079834
development_DiagReachK2_s180_W2_SS,DiagReachK2,W2,SS,180,10,1,20,3,False,False,False,False,0.36114364862442017,1.6988189220428467
development_DiagReachK2_s180_W2_SS,DiagReachK2,W2,SS,180,11,0,20,4,False,False,False,False,0.3923906981945038,1.7659311294555664
development_DiagReachK2_s180_W2_SS,DiagReachK2,W2,SS,180,11,1,20,3,False,False,False,False,0.3598629832267761,1.4416203498840332
development_DiagReachK2_s180_W2_SS,DiagReachK2,W2,SS,180,12,0,20,7,False,False,False,False,0.5004614591598511,1.8162177801132202
development_DiagReachK2_s180_W2_SS,DiagReachK2,W2,SS,180,12,1,20,9,False,False,False,False,0.5141128897666931,1.6345226764678955
development_DiagReachK2_s180_W2_SS,DiagReachK2,W2,SS,180,13,0,20,5,False,False,False,False,0.43214553594589233,1.6578307151794434
development_DiagReachK2_s180_W2_SS,DiagReachK2,W2,SS,180,13,1,20,8,False,False,False,False,0.4995381236076355,1.8406363725662231
development_DiagReachK2_s180_W2_SS,DiagReachK2,W2,SS,180,14,0,20,6,False,False,False,False,0.45605596899986267,1.9070297479629517
development_DiagReachK2_s180_W2_SS,DiagReachK2,W2,SS,180,14,1,20,6,False,False,False,False,0.46582165360450745,1.4903090000152588
development_DiagReachK2_s180_W2_SS,DiagReachK2,W2,SS,180,15,0,20,5,False,False,False,False,0.4468521177768707,1.5281460285186768
development_DiagReachK2_s180_W2_SS,DiagReachK2,W2,SS,180,15,1,20,4,False,False,False,False,0.4138640761375427,1.80802583694458
development_DiagReachK2_s180_W2_SS,DiagReachK2,W2,SS,180,16,0,20,3,False,False,False,False,0.36590614914894104,1.721553921699524
development_DiagReachK2_s180_W2_SS,DiagReachK2,W2,SS,180,16,1,20,5,False,False,False,False,0.4385087490081787,1.5238159894943237
development_DiagReachK2_s180_W2_SS,DiagReachK2,W2,SS,180,17,0,20,5,False,False,False,False,0.4429607391357422,1.9269099235534668
development_DiagReachK2_s180_W2_SS,DiagReachK2,W2,SS,180,17,1,20,4,False,False,False,False,0.41330593824386597,1.363632321357727
development_DiagReachK2_s180_W2_SS,DiagReachK2,W2,SS,180,18,0,20,10,False,False,False,False,0.5061942934989929,1.9104173183441162
development_DiagReachK2_s180_W2_SS,DiagReachK2,W2,SS,180,18,1,20,3,False,False,False,False,0.3712299168109894,1.0107643604278564
development_DiagReachK2_s180_W2_SS,DiagReachK2,W2,SS,180,19,0,20,8,False,False,False,False,0.5043668746948242,1.726370930671692
development_DiagReachK2_s180_W2_SS,DiagReachK2,W2,SS,180,19,1,20,5,False,False,False,False,0.4468521177768707,1.4989144802093506
development_DiagReachK2_s180_W2_SS,DiagReachK2,W2,SS,180,20,0,20,6,False,False,False,False,0.4615902304649353,1.4677799940109253
development_DiagReachK2_s180_W2_SS,DiagReachK2,W2,SS,180,20,1,20,4,False,False,False,False,0.40054214000701904,1.3412880897521973
development_DiagReachK2_s180_W2_SS,DiagReachK2,W2,SS,180,21,0,20,4,False,False,False,False,0.41747382283210754,1.5767254829406738
development_DiagReachK2_s180_W2_SS,DiagReachK2,W2,SS,180,21,1,20,9,False,False,False,False,0.5111860036849976,1.8164969682693481
development_DiagReachK2_s180_W2_SS,DiagReachK2,W2,SS,180,22,0,20,7,False,False,False,False,0.4878486394882202,1.9928630590438843
development_DiagReachK2_s180_W2_SS,DiagReachK2,W2,SS,180,22,1,20,5,False,False,False,False,0.45300883054733276,1.3439997434616089
development_DiagReachK2_s180_W2_SS,DiagReachK2,W2,SS,180,23,0,20,8,False,False,False,False,0.5084693431854248,1.9030539989471436
development_DiagReachK2_s180_W2_SS,DiagReachK2,W2,SS,180,23,1,20,1,False,False,False,False,0.20942695438861847,1.0887089967727661
development_DiagReachK2_s180_W2_SS,DiagReachK2,W2,SS,180,24,0,20,3,False,False,False,False,0.3712298572063446,1.325586199760437
development_DiagReachK2_s180_W2_SS,DiagReachK2,W2,SS,180,24,1,20,8,False,False,False,False,0.5082422494888306,1.3143177032470703
