job,env,seed,metric,estimator,cycle,actual_steps,phase,episodes,raw_reward,shaped_reward,penalty,joint,any_event,mean_cost,event,excess,cumulative_overbudget_amount
development_DiagReachK2_s180_KL_cf_state,DiagReachK2,180,KL,cf_state,17,8640,exploration,20,7.539917440427233,5.363613874925068,2.1763035655021667,0.15,0.65,"[5.664646881818771, 4.670257303118706]","[0.5, 0.35]","[0.11018139918645224, 0.04979182879130044]",19.196787357330322
development_DiagReachK2_s180_KL_cf_state,DiagReachK2,180,KL,cf_state,17,8640,selection,12,8.896185141285727,8.896185141285727,0.0,1.0,0.0,"[4.966583291689555, 5.175930301348369]","[0.0, 0.0]","[0.0, 0.0]",0.0
development_DiagReachK2_s180_KL_cf_state,DiagReachK2,180,KL,cf_state,17,8640,acceptance,8,9.21935618298594,9.21935618298594,0.0,1.0,0.0,"[5.7496256828308105, 5.222033619880676]","[0.0, 0.0]","[0.0, 0.0]",0.0
development_DiagReachK2_s180_KL_cf_state,DiagReachK2,180,KL,cf_state,18,9120,exploration,20,7.332705976227882,5.591544048647046,1.7411619275808334,0.4,0.35,"[5.082757276296616, 4.246945863962173]","[0.25, 0.1]","[0.09729295174280803, 0.024932658672332762]",14.667073249816895
development_DiagReachK2_s180_KL_cf_state,DiagReachK2,180,KL,cf_state,18,9120,selection,12,8.882164714558165,8.882164714558165,0.0,1.0,0.0,"[4.84794694185257, 4.9699201186498]","[0.0, 0.0]","[0.0, 0.0]",0.0
development_DiagReachK2_s180_KL_cf_state,DiagReachK2,180,KL,cf_state,18,9120,acceptance,8,9.189797532209196,9.189797532209196,0.0,1.0,0.0,"[5.751332998275757, 5.247998237609863]","[0.0, 0.0]","[0.0, 0.0]",0.0
development_DiagReachK2_s180_KL_cf_state,DiagReachK2,180,KL,cf_state,19,9600,exploration,20,7.281956679956055,5.8704069478670124,1.4115497320890427,0.3,0.4,"[4.420497888326645, 5.022240293025971]","[0.1, 0.35]","[0.058453222115834556, 0.045988047122955324]",12.532952308654785
development_DiagReachK2_s180_KL_cf_state,DiagReachK2,180,KL,cf_state,19,9600,selection,12,8.938598083054723,8.938598083054723,0.0,1.0,0.0,"[4.923972686131795, 5.111072540283203]","[0.0, 0.0]","[0.0, 0.0]",0.0
development_DiagReachK2_s180_KL_cf_state,DiagReachK2,180,KL,cf_state,19,9600,acceptance,8,9.236940992437304,9.236940992437304,0.0,1.0,0.0,"[5.551634073257446, 5.278933525085449]","[0.0, 0.0]","[0.0, 0.0]",0.0
development_DiagReachK2_s180_KL_cf_state,DiagReachK2,180,KL,cf_state,20,10080,exploration,20,7.3366817806244935,5.71280707161437,1.6238747090101242,0.15,0.6,"[4.969910112023354, 4.524205660820007]","[0.4, 0.3]","[0.09883791208267212, 0.030615123112996422]",15.534364223480225
development_DiagReachK2_s180_KL_cf_state,DiagReachK2,180,KL,cf_state,20,10080,selection,12,8.817519971685483,8.817519971685483,0.0,1.0,0.0,"[4.800527572631836, 5.354932268460591]","[0.0, 0.0]","[0.0, 0.0]",0.0
development_DiagReachK2_s180_KL_cf_state,DiagReachK2,180,KL,cf_state,20,10080,acceptance,8,9.266851493925788,9.266851493925788,0.0,1.0,0.0,"[5.621583342552185, 5.2242642641067505]","[0.0, 0.0]","[0.0, 0.0]",0.0
development_DiagReachK2_s180_KL_cf_state,DiagReachK2,180,KL,cf_state,21,10560,exploration,20,7.806407099366187,5.936011617779731,1.8703954815864563,0.4,0.5,"[5.595314013957977, 4.808564174175262]","[0.35, 0.25]","[0.08950066169102987, 0.03551389773686727]",15.001747131347656
development_DiagReachK2_s180_KL_cf_state,DiagReachK2,180,KL,cf_state,21,10560,selection,12,8.727337734985484,8.727337734985484,0.0,1.0,0.0,"[4.651736716429393, 4.692371944586436]","[0.0, 0.0]","[0.0, 0.0]",0.0
development_DiagReachK2_s180_KL_cf_state,DiagReachK2,180,KL,cf_state,21,10560,acceptance,8,9.240305468207227,9.240305468207227,0.0,1.0,0.0,"[5.672430157661438, 5.250568509101868]","[0.0, 0.0]","[0.0, 0.0]",0.0
development_DiagReachK2_s180_KL_cf_state,DiagReachK2,180,KL,cf_state,22,11040,exploration,20,7.132385812739376,5.111007884184365,2.0213779285550117,0.3,0.45,"[4.009197008609772, 5.454369041323662]","[0.1, 0.4]","[0.027800675233205164, 0.10458682378133137]",15.886499881744385
development_DiagReachK2_s180_KL_cf_state,DiagReachK2,180,KL,cf_state,22,11040,selection,12,9.006710444852557,8.930576637352353,0.07613380750020345,0.6666666666666666,0.3333333333333333,"[5.855298201243083, 4.6117046276728315]","[0.3333333333333333, 0.0]","[0.01522676812277901, 0.0]",1.096327304840088
development_DiagReachK2_s180_KL_cf_state,DiagReachK2,180,KL,cf_state,22,11040,acceptance,8,9.23115889376495,9.23115889376495,0.0,1.0,0.0,"[5.6962279081344604, 5.336917042732239]","[0.0, 0.0]","[0.0, 0.0]",0.0
development_DiagReachK2_s180_KL_cf_state,DiagReachK2,180,KL,cf_state,23,11520,exploration,20,7.147078791384411,5.6298655362174035,1.5172132551670074,0.2,0.5,"[5.653356695175171, 3.644165885448456]","[0.45, 0.05]","[0.12752787272135416, 0.0056293725967407225]",15.978869438171387
development_DiagReachK2_s180_KL_cf_state,DiagReachK2,180,KL,cf_state,23,11520,selection,12,8.895625679911609,8.895625679911609,0.0,1.0,0.0,"[4.940558552742004, 5.1195236047108965]","[0.0, 0.0]","[0.0, 0.0]",0.0
development_DiagReachK2_s180_KL_cf_state,DiagReachK2,180,KL,cf_state,23,11520,acceptance,8,9.288831400917843,9.288831400917843,0.0,1.0,0.0,"[5.697288155555725, 5.3521223068237305]","[0.0, 0.0]","[0.0, 0.0]",0.0
development_DiagReachK2_s180_KL_cf_state,DiagReachK2,180,KL,cf_state,24,12000,exploration,20,7.489975831855991,5.847127489198901,1.6428483426570892,0.35,0.5,"[4.845082926750183, 4.785897499322891]","[0.2, 0.4]","[0.055667221546173096, 0.06056293646494547]",13.947618961334229
