env,seed,cycle,anchor,candidate,channel,Gtrain,Ghold,Gsample,Gdet,optimism,optimism_lo,optimism_hi,Gdet_lo,Gdet_hi,hold_episode_contribution_std,sample_episode_contribution_std
DiagReachK2,180,18,3,shapedW2,raw,0.018984748257607757,0.00786562027796908,0.001145056590667208,-0.061454569805937165,0.01783969166694055,-0.02519878876898723,0.06192865135798879,-0.06704580572553814,-0.05564819951327043,0.45990013476409203,0.18662212671292291
DiagReachK2,180,18,3,shapedW2,penalty,-2.558596912779921,-0.5490974310358346,-0.3020256757736206,0.03063400276005268,-2.2565712370063005,-2.5080431979234157,-1.9999935932076365,0.017652150942012668,0.04523536004126071,3.982484709136704,1.100067341684214
DiagReachK2,180,18,3,shapedW2,cost_0,0.19821092550720856,0.22098620184057194,0.14468947239220142,0.22690334916114807,0.05352145311500714,0.01420907992016361,0.09658971823829994,0.221466682292521,0.2318010125309229,0.7831311809304435,0.17523852509515128
DiagReachK2,180,18,3,shapedW2,cost_1,-0.6372096331560491,-0.34230292574897,-0.25128354225307703,-0.16906867176294327,-0.38592609090297203,-0.496693365648712,-0.25879284143480197,-0.1797100216150284,-0.15769119560718536,1.408751154387127,0.4963581991879692
DiagReachK2,180,18,3,rawKL,shaped,-1.7697520125574784,-0.3336883821282937,-0.5077155644038384,-0.13144233870698388,-1.2620364481536401,-1.4857801482261104,-1.0553895491698844,-0.16692414563840446,-0.10006975762924439,1.933698413087874,0.8665383635041978
DiagReachK2,180,18,3,rawKL,raw,0.3020740453689532,0.2343650757204583,0.16804484073429657,0.09956516184465711,0.13402920463465665,0.10769850573022924,0.15935638755075973,0.09675022302646544,0.10273814005700854,0.3789595086697775,0.11345919737133758
DiagReachK2,180,18,3,rawKL,penalty,2.0718259503395595,0.5680534362921934,0.675760405138135,0.231007500551641,1.3960655452014246,1.2025700608996042,1.6067491218476855,0.2010688732843846,0.2656076088314876,2.0601531621666,0.8107033731760346
DiagReachK2,180,18,3,rawKL,cost_0,0.5163621304993067,0.42956042007809175,0.31248341873288155,0.5329158380627632,0.20387871176642514,0.18249988848981596,0.22663836660501693,0.5303423203527927,0.5354640455916524,0.7229860946698085,0.09941056671737589
DiagReachK2,180,18,3,rawKL,cost_1,0.8060202675564879,0.35157321955493753,0.3150990894064307,0.43648406863212585,0.4909211781500572,0.44814163415419994,0.529566355810567,0.4326198134571314,0.44052980225533245,0.8636069275547094,0.17485611134862328
DiagReachK2,180,18,3,rawW2,shaped,-1.7697520125574784,-0.3336883821282937,-0.5077155644038384,-0.13144233870698388,-1.2620364481536401,-1.4857801482261104,-1.0553895491698844,-0.16692414563840446,-0.10006975762924439,1.933698413087874,0.8665383635041978
DiagReachK2,180,18,3,rawW2,raw,0.3020740453689532,0.2343650757204583,0.16804484073429657,0.09956516184465711,0.13402920463465665,0.10769850573022924,0.15935638755075973,0.09675022302646544,0.10273814005700854,0.3789595086697775,0.11345919737133758
