env,seed,cycle,anchor,kernel,raw_reward,shaped_reward,penalty,joint,success,any_event,cost_mean,event,excess
DiagReachK2,180,18,3,sample_old,7.398415758393275,5.547867134332227,1.850548624061048,0.203125,0.4375,0.5,"[5.026460323482752, 4.851111969444901]","[0.359375, 0.28125]","[0.08151842281222346, 0.06696881974736851]"
DiagReachK2,180,18,3,sample_shapedKL,7.41802893871577,5.846512381119146,1.571516557596624,0.28125,0.46875,0.46875,"[5.184992577880621, 4.6364874094724655]","[0.390625, 0.21875]","[0.09305342659354211, 0.04117460673054059]"
DiagReachK2,180,18,3,sample_shapedW2,7.399560814983943,5.851037866696515,1.5485229482874274,0.296875,0.46875,0.453125,"[5.171149795874953, 4.599828427191824]","[0.390625, 0.203125]","[0.09311505407094954, 0.039347000420093536]"
DiagReachK2,180,18,3,sample_rawKL,7.566460599127573,5.04015156992839,2.526309029199183,0.1875,0.453125,0.609375,"[5.338943742215633, 5.1662110588513315]","[0.40625, 0.375]","[0.1016363687813282, 0.09189458812276521]"
DiagReachK2,180,18,3,sample_rawW2,7.566460599127573,5.04015156992839,2.526309029199183,0.1875,0.453125,0.609375,"[5.338943742215633, 5.1662110588513315]","[0.40625, 0.375]","[0.1016363687813282, 0.09189458812276521]"
DiagReachK2,180,18,3,det_old,9.218381102233252,9.216271004675946,0.0021100975573062897,0.953125,1.0,0.046875,"[5.723191291093826, 5.438160642981529]","[0.046875, 0.0]","[0.00042201951146125793, 0.0]"
DiagReachK2,180,18,3,det_shapedKL,9.167475508272766,9.131247004240869,0.03622850403189659,0.640625,1.0,0.359375,"[5.963472530245781, 5.300937302410603]","[0.359375, 0.0]","[0.007245698322852448, 0.0]"
DiagReachK2,180,18,3,det_shapedW2,9.156926532427313,9.124182432109954,0.03274410031735897,0.671875,1.0,0.328125,"[5.950094640254974, 5.269091971218586]","[0.328125, 0.0]","[0.006548823167880382, 0.0]"
DiagReachK2,180,18,3,det_rawKL,9.317946264077909,9.084828665968962,0.23311759810894728,0.046875,1.0,0.953125,"[6.2561071291565895, 5.874644711613655]","[0.953125, 0.234375]","[0.04333367943763734, 0.0025749802589416504]"
DiagReachK2,180,18,3,det_rawW2,9.317946264077909,9.084828665968962,0.23311759810894728,0.046875,1.0,0.953125,"[6.2561071291565895, 5.874644711613655]","[0.953125, 0.234375]","[0.04333367943763734, 0.0025749802589416504]"
DiagReachK2,186,6,6,sample_old,6.8116390349294305,5.443259274395859,1.3683797605335712,0.21875,0.34375,0.421875,"[5.066290519200265, 3.8500010878778994]","[0.34375, 0.171875]","[0.0853007473051548, 0.02722936496138573]"
DiagReachK2,186,6,6,sample_shapedKL,6.7700100030389425,5.5963735088345405,1.173636494204402,0.25,0.40625,0.40625,"[5.146221771836281, 3.5084132705815136]","[0.359375, 0.109375]","[0.0854260797301928, 0.014166312913099926]"
DiagReachK2,186,6,6,sample_shapedW2,6.738708189927321,5.602947872370761,1.13576031755656,0.25,0.4375,0.421875,"[5.166175744496286, 3.3736871141009033]","[0.375, 0.109375]","[0.0853476511935393, 0.010622219492991764]"
DiagReachK2,186,6,6,sample_rawKL,7.07920295545955,5.419384016526237,1.659818938933313,0.25,0.453125,0.453125,"[5.433658559806645, 4.038567103911191]","[0.390625, 0.15625]","[0.10504752770066261, 0.029238307227691013]"
DiagReachK2,186,6,6,sample_rawW2,7.091287218933212,5.522743419711697,1.5685437992215157,0.234375,0.453125,0.453125,"[5.405449001118541, 4.028413265943527]","[0.390625, 0.15625]","[0.10083531588315962, 0.028147431711355846]"
