suite,method,progress_pct,n_tasks,n_seeds_total,cost_over_budget_q25,cost_over_budget_median,cost_over_budget_q75,normalized_return_q25,normalized_return_median,normalized_return_q75
SafePO,SafeOT-Dual,38.0,10,75,1.06219,1.2650617955970997,1.4947076785714284,0.2506876598954602,0.37960296257960635,0.4842114918317032
SafePO,SafeOT-Dual,39.0,10,75,1.075348616268716,1.1430433333333334,1.4472605357142856,0.255717413953189,0.3884493672193068,0.5307379645522645
SafePO,SafeOT-Dual,40.0,10,75,1.0270580357142858,1.1690085714285714,1.3479031642310777,0.26991982718037166,0.39234679830567754,0.5450412497923866
SafePO,SafeOT-Dual,41.0,10,75,1.089742380952381,1.2214766028295376,1.3819937111211638,0.2665062112487942,0.4061888047060168,0.5566162273574032
SafePO,SafeOT-Dual,42.0,10,75,1.0841185714285715,1.2186283333333332,1.5192853202820369,0.2810917455199948,0.427847632323602,0.5620203276481165
SafePO,SafeOT-Dual,43.0,10,75,1.0216114285714284,1.2296391666666666,1.4109552795800893,0.2657686896422792,0.4465746524370913,0.570527346393567
SafePO,SafeOT-Dual,44.0,10,75,0.9649414285714286,1.1892446691704235,1.21318625,0.2496664976653298,0.4584251237231515,0.5815278728788985
SafePO,SafeOT-Dual,45.0,10,75,0.9838030111283642,1.0993700000000002,1.2476140710232895,0.2469088262725804,0.4719914934086514,0.5924671327975194
SafePO,SafeOT-Dual,46.0,10,75,1.0062771428571429,1.1224023571428572,1.2071206300262052,0.27933305388797747,0.49616829037696397,0.5930123809839233
SafePO,SafeOT-Dual,47.0,10,75,1.01416,1.1532970454545453,1.2071582653589412,0.3156619279668962,0.509884481218517,0.5862440557911297
SafePO,SafeOT-Dual,48.0,10,75,1.0311053783173347,1.1282766467596308,1.1991266666666667,0.2906367067629918,0.5124991147947602,0.5887990299625174
SafePO,SafeOT-Dual,49.0,10,75,0.9253507142857144,1.1060119047619046,1.186268470785743,0.2675010909667112,0.5161530378150982,0.5876968086665614
SafePO,SafeOT-Dual,50.0,10,75,0.9049980357142857,1.0954268446368447,1.26668125,0.23817139036394103,0.5217773862237369,0.5956297945532582
SafePO,SafeOT-Dual,51.0,10,75,0.9700458928571429,1.1219788359788359,1.2755737235059001,0.24285728191837566,0.5295902414281292,0.6307555367164469
SafePO,SafeOT-Dual,52.0,10,75,1.0482461746031746,1.1121528571428572,1.1267859312354311,0.2678752912159925,0.5362855102933262,0.6366059830505023
SafePO,SafeOT-Dual,53.0,10,75,0.9740916955424725,1.1412,1.2441974999999998,0.3137282769487909,0.5381241697064816,0.6199438570651962
SafePO,SafeOT-Dual,54.0,10,75,1.029624204340617,1.1756950000000002,1.2942525,0.3145935664434789,0.549543052856529,0.6316689139175522
SafePO,SafeOT-Dual,55.0,10,75,1.0784418272859178,1.1739212313612313,1.448135625,0.31022213210848293,0.5572552502159414,0.653808734072761
SafePO,SafeOT-Dual,56.0,10,75,1.097818623043623,1.1682419845774419,1.3834911011904762,0.3393463024466959,0.5632793830355075,0.6744938326876813
SafePO,SafeOT-Dual,57.0,10,75,1.047132857142857,1.1339281999263076,1.2671904437229435,0.3740502312103249,0.5622144023380489,0.6882553006378095
SafePO,SafeOT-Dual,58.0,10,75,0.9599885714285714,1.111904670884671,1.203756328538828,0.42464052866407415,0.5604714618662887,0.6871419390145777
SafePO,SafeOT-Dual,59.0,10,75,0.9605428571428571,1.0915880595798955,1.1830219047619048,0.394686989723504,0.5512953697140266,0.6554862304166572
SafePO,SafeOT-Dual,60.0,10,75,0.9956635714285713,1.1195036190529282,1.1656554232804233,0.39783514637553613,0.5478458470025609,0.6579297751018167
SafePO,SafeOT-Dual,61.0,10,75,1.0355522025385495,1.128448675575632,1.2418414880952384,0.3684590774656529,0.5622811516443087,0.683919130710543
SafePO,SafeOT-Dual,62.0,10,75,1.07057,1.124253727753728,1.2606903117353658,0.3647365172945041,0.5861920731705479,0.6925996772791085
SafePO,SafeOT-Dual,63.0,10,75,1.0387314285714286,1.1281161014911014,1.2933283333333334,0.3355777475385963,0.5920053033077713,0.6816335636992361
SafePO,SafeOT-Dual,64.0,10,75,0.928622857142857,1.1173382251082251,1.2472581746031746,0.37532894780556914,0.5852255968017165,0.6853641290827385
SafePO,SafeOT-Dual,65.0,10,75,0.9876625595238095,1.0889423809523808,1.1679651345755693,0.4127153417433978,0.5975727733841583,0.6995559976704571
SafePO,SafeOT-Dual,66.0,10,75,0.9960668750000001,1.0452762962962963,1.207277380952381,0.43289247309612205,0.5830000540898229,0.7006548732744704
SafePO,SafeOT-Dual,67.0,10,75,1.022819042207792,1.0936975324675324,1.191412142857143,0.40908857393727216,0.59018129603263,0.7082841034174983
SafePO,SafeOT-Dual,68.0,10,75,0.9304914285714285,1.0966608333333334,1.2326076623376623,0.38908075729344016,0.5994286442225252,0.7106312636984087
SafePO,SafeOT-Dual,69.0,10,75,0.8840042857142858,1.1275485497835498,1.295409725829726,0.38136343883422613,0.6258724307482815,0.739083133428835
SafePO,SafeOT-Dual,70.0,10,75,0.9385160714285714,1.1494433333333334,1.2498935093167702,0.38394587167053373,0.6233664704877929,0.7220496381987368
SafePO,SafeOT-Dual,71.0,10,75,1.0636039285714287,1.1819144973544975,1.2613008333333333,0.3904896532248852,0.5689548614934509,0.7271950368177666
SafePO,SafeOT-Dual,72.0,10,75,1.0512775,1.2367603174603174,1.3015774999999998,0.4082523202108864,0.5805224121179661,0.7314991527864003
SafePO,SafeOT-Dual,73.0,10,75,1.0050538095238095,1.1826824915824918,1.2796688095238093,0.4196413125619502,0.6581951970529218,0.7434957110017977
SafePO,SafeOT-Dual,74.0,10,75,0.9839775324675325,1.0894480952380952,1.2532977225672879,0.4325591138154789,0.6736945483569231,0.7504921692316655
SafePO,SafeOT-Dual,75.0,10,75,0.9357889285714285,1.0487009523809523,1.2569399999999997,0.4476403719467982,0.5989101375525618,0.7564940343140186
SafePO,SafeOT-Dual,76.0,10,75,0.9289782792207792,1.0745333333333333,1.2168701154401151,0.4489108066028989,0.6078261534706544,0.7597610279417916
SafePO,SafeOT-Dual,77.0,10,75,0.9614262499999999,1.0815409523809523,1.18344,0.46279984993538253,0.6633331301992397,0.7657488491463533
SafePO,SafeOT-Dual,78.0,10,75,1.0479978571428572,1.0870500793650795,1.2562033333333333,0.4361635128506071,0.677823749942577,0.8141790803625468
SafePO,SafeOT-Dual,79.0,10,75,0.9613166666666667,1.0990454497354496,1.1896928571428569,0.43675866550884046,0.6886347371498578,0.8001856314805572
SafePO,SafeOT-Dual,80.0,10,75,0.9770713149350649,1.0915762433862435,1.2015459523809522,0.41568685685778906,0.6764210626948655,0.8033733865385828
SafePO,SafeOT-Dual,81.0,10,75,0.9777988417560701,1.1004709523809524,1.1713412499999998,0.4569525251107641,0.6845403835748362,0.8014501232029801
SafePO,SafeOT-Dual,82.0,10,75,0.9035787500000001,1.0638614285714285,1.1846649999999999,0.5393809689392647,0.673681835609519,0.798856134600019
SafePO,SafeOT-Dual,83.0,10,75,0.8094295059590974,0.98847,1.1902866666666667,0.5654151943588017,0.6906665257967635,0.8027764252949787
SafePO,SafeOT-Dual,84.0,10,75,0.8711409851692515,0.9882,1.1319985714285714,0.48264398519469703,0.6937389649750694,0.8465714494142997
SafePO,SafeOT-Dual,85.0,10,75,0.9355240548432149,1.005695119047619,1.07179625,0.45067192018835733,0.7030341668585611,0.9030028167917041
SafePO,SafeOT-Dual,86.0,10,75,0.8999759909308085,0.9983133333333332,1.0658548863636363,0.46794888923421796,0.7106931461649666,0.9047093050424577
SafePO,SafeOT-Dual,87.0,10,75,0.8923594642857143,1.00088,1.0921624120082816,0.48812823408639766,0.721755914589022,0.8796721073364259
SafePO,SafeOT-Dual,88.0,10,75,0.9401964285714286,1.0106000108523814,1.123955,0.5278082365326174,0.7265020003763074,0.8427662660112368
SafePO,SafeOT-Dual,89.0,10,75,0.9441905952380952,1.0650254190573065,1.1065162499999999,0.5694815469955528,0.7325640684185427,0.8291061899470572
SafePO,SafeOT-Dual,90.0,10,75,0.9106640563241108,1.051845,1.0905235893825838,0.546756903779301,0.7164135630210333,0.8309813089765736
SafePO,SafeOT-Dual,91.0,10,75,0.9907231958385462,1.0356221428571426,1.08481375,0.5461567068643016,0.7391694996717271,0.8510277001056106
SafePO,SafeOT-Dual,92.0,10,75,0.9618830952380952,1.0553991666666667,1.2129108928571428,0.5955622542030584,0.7353290515368288,0.8654977588736068
SafePO,SafeOT-Dual,93.0,10,75,0.9622771428571428,1.0502383333333334,1.1877694642857144,0.5973566301748578,0.7432357351970457,0.8466106409270416
